ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrV', 507000, 507492)",+,NM_001179054.1,22.189,-14.9,0.0,129.811,0.3071138211382114,492
"('chrX', 11932, 12418)",+,NM_001181655.1,39.993,0.0,-5.391071428571423,137.498,0.2837448559670781,486
"('chrX', 64548, 64777)",+,NM_001181630.1,28.728,-12.300000000000004,0.0,45.086,0.3646288209606986,229
"('chrX', 64570, 64777)",+,NM_001181630.1,12.07,0.0,0.0,55.449,0.4004830917874396,207
"('chrX', 130252, 130604)",-,NM_001181588.1,13.381,0.0,-3.388235294117649,85.655,0.3829545454545454,352
"('chrX', 162981, 163236)",+,NM_001181565.1,34.735,0.0,-3.775,65.691,0.4199999999999999,255
"('chrX', 167893, 168339)",-,NM_001181563.2,47.64,0.0,0.0,127.868,0.3082959641255606,446
"('chrX', 179586, 180060)",-,NM_001181561.2,31.302,-23.5,0.0,117.052,0.3021097046413502,474
"('chrX', 200915, 201141)",+,NM_001181546.3,30.4,-7.0,-3.5575,42.955,0.3853982300884956,226
"('chrX', 202906, 203245)",+,NM_001181546.3,22.029,0.0,0.0,62.627,0.3339233038348083,339
"('chrX', 215889, 216239)",-,NM_001181542.1,1.938,-8.1,-2.9089999999999985,85.333,0.3745714285714286,350
"('chrX', 215304, 215423)",-,NM_001181542.1,17.546,-9.064646464646476,0.0,18.073,0.3478991596638655,119
"('chrX', 218188, 218321)",-,NM_001181541.1,30.49,-5.599999999999997,0.0,33.349,0.518796992481203,133
"('chrX', 274589, 274690)",+,NM_001181518.1,18.344,0.0,0.0,24.071,0.583168316831683,101
"('chrX', 300651, 301105)",-,NM_001181507.1,44.783,0.0,-0.8,114.156,0.3286343612334802,454
"('chrX', 331553, 331898)",-,NM_001181489.1,23.492,0.0,0.0,71.52,0.3284057971014492,345
"('chrX', 382824, 383005)",+,NM_001181468.3,21.831,-8.616666666666667,-8.1,38.518,0.4348066298342542,181
"('chrX', 403921, 404445)",+,NM_001181453.3,31.197,-10.9,0.0,128.117,0.2666030534351145,524
"('chrX', 406360, 406720)",+,NM_001181450.1,45.672,0.0,0.0,87.002,0.4077777777777777,360
"('chrX', 425864, 426163)",+,NM_001181439.3,18.53,0.0,0.0,76.851,0.3050167224080267,299
"('chrX', 425864, 426097)",+,NM_001181439.3,19.217,0.0,-6.05,51.891,0.3545064377682403,233
"('chrX', 465741, 465880)",-,NM_001181674.1,27.679,-1.6,-7.950588235294118,34.982,0.4079136690647481,139
"('chrX', 484301, 484538)",-,NM_001181688.3,37.947,0.0,-6.600000000000009,59.624,0.3966244725738396,237
"('chrX', 509188, 509330)",+,NM_001181698.1,32.258,-5.2,0.0,41.338,0.5056338028169014,142
"('chrX', 508817, 509330)",+,NM_001181698.1,30.068,-15.6,-3.75,130.956,0.3157894736842105,513
"('chrX', 550539, 550757)",+,NM_001181719.1,41.559,0.0,-4.3,48.0,0.4486238532110092,218
"('chrX', 580774, 581031)",+,NM_001181737.1,25.182,0.0,0.0,39.822,0.4330739299610894,257
"('chrX', 580556, 581007)",-,NM_001181738.1,27.379,0.0,-7.700000000000002,111.716,0.3250554323725055,451
"('chrX', 580556, 580855)",-,NM_001181738.1,26.279,0.0,-4.002941176470585,69.888,0.3839464882943144,299
"('chrX', 616442, 616822)",-,NM_001181758.3,30.97,-6.3,0.0,116.483,0.2747368421052631,380
"('chrII', 131246, 131436)",-,NM_001178287.1,13.171,-11.066666666666665,-6.532432432432435,45.967,0.3631578947368421,190
"('chrII', 131246, 131418)",-,NM_001178287.1,42.702,-7.133333333333333,0.0,42.397,0.3767441860465116,172
"('chrII', 519055, 519137)",-,NM_001178488.3,17.044,0.0,0.0,19.039,0.4426829268292683,82
"('chrII', 20401, 20571)",-,NM_001178344.1,18.603,-12.973134328358222,-3.5,25.13,0.3717647058823529,170
"('chrII', 62121, 62472)",-,NM_001178326.1,42.782,0.0,-6.035365853658531,82.278,0.3011396011396011,351
"('chrII', 97523, 97906)",-,NM_001178306.1,15.195,0.0,0.0,100.123,0.3120104438642298,383
"('chrII', 96742, 97018)",-,NM_001178306.1,8.0,0.0,0.0,64.546,0.3971014492753624,276
"('chrII', 113858, 114186)",+,NM_001178296.2,31.576,0.0,0.0,85.746,0.4597560975609756,328
"('chrII', 114029, 114186)",+,NM_001178296.2,34.104,0.0,0.0,31.384,0.5382165605095541,157
"('chrII', 132670, 132956)",+,NM_001178286.1,34.869,-7.599999999999999,-6.9363636363636365,64.78,0.3611888111888112,286
"('chrII', 154773, 155143)",-,NM_001178274.1,30.404,0.0,-0.98,63.685,0.3929729729729729,370
"('chrII', 163105, 163372)",-,NM_001178270.1,23.564,0.0,0.0,76.429,0.4606741573033709,267
"('chrII', 187220, 187413)",-,NM_001178257.1,13.433,-8.8,-1.1000000000000003,49.132,0.4507772020725388,193
"('chrII', 192992, 193508)",+,NM_001178256.1,16.214,0.0,-5.2,121.665,0.3420542635658916,516
"('chrII', 219401, 219766)",+,NM_001178245.1,38.068,-8.34,0.0,104.659,0.3857534246575342,365
"('chrII', 252657, 252791)",-,NM_001178356.1,35.058,-11.479591836734691,0.0,36.904,0.4298507462686567,134
"('chrII', 292945, 293205)",-,NM_001178374.1,26.578,-7.220000000000001,0.0,58.467,0.4176923076923076,260
"('chrII', 302792, 303148)",+,NM_001178381.1,32.576,0.0,0.0,87.066,0.4317415730337079,356
"('chrII', 339857, 340116)",-,NM_001178401.1,34.782,0.0,-4.0,72.202,0.3243243243243243,259
"('chrII', 339721, 340116)",-,NM_001178401.1,29.653,-12.445000000000013,-2.100000000000001,120.452,0.2873417721518987,395
"('chrII', 352431, 352604)",-,NM_001178405.1,27.192,-20.3,-3.599999999999998,37.991,0.445664739884393,173
"('chrII', 384031, 384123)",+,NM_001178421.4,14.814,0.0,-2.090476190476191,15.052,0.5163043478260868,92
"('chrII', 433476, 433935)",+,NM_001178442.2,54.503,0.0,-0.5999999999999999,94.061,0.3089324618736383,459
"('chrII', 467782, 468122)",+,NM_001178462.1,17.556,0.0,-4.0,94.134,0.303235294117647,340
"('chrII', 469255, 469602)",+,NM_001178462.1,22.966,0.0,0.0,85.684,0.4123919308357348,347
"('chrII', 487509, 487808)",-,NM_001178473.1,24.105,-17.97187500000001,-0.5785714285714285,71.813,0.3705685618729096,299
"('chrII', 514449, 514752)",-,NM_001178486.2,31.42,0.0,0.0,71.187,0.3798679867986799,303
"('chrII', 552823, 553018)",-,NM_001178504.3,55.528,-6.9,-6.6571428571428575,39.133,0.4502564102564103,195
"('chrII', 584047, 584273)",+,NM_001178524.3,30.79,-9.667741935483871,-3.0,59.575,0.484070796460177,226
"('chrII', 583856, 584273)",+,NM_001178524.3,44.239,0.0,0.0,82.636,0.3345323741007194,417
"('chrII', 603121, 603315)",+,NM_001178535.1,17.435,-17.062745098039223,0.0,39.782,0.3752577319587628,194
"('chrII', 613176, 613541)",-,NM_001178544.1,39.676,0.0,0.0,71.68,0.4126027397260274,365
"('chrII', 662710, 663002)",-,NM_001178567.3,26.546,0.0,0.0,63.408,0.3917808219178081,292
"('chrII', 662581, 663002)",-,NM_001178567.3,38.59,0.0,0.0,105.098,0.3389548693586698,421
"('chrII', 667656, 667899)",-,NM_001178570.3,23.465,-12.8,0.0,54.317,0.3506172839506173,243
"('chrII', 688785, 689211)",+,NM_001178583.3,44.892,0.0,0.0,102.863,0.3082159624413145,426
"('chrII', 734196, 734603)",-,NM_001178608.1,23.886,-24.149999999999995,-7.049999999999998,80.917,0.3555282555282555,407
"('chrII', 803379, 803871)",-,NM_001178646.1,12.198,-10.54,0.0,142.819,0.2678861788617885,492
"('chrIV', 180147, 180437)",+,NM_001180214.1,45.508,0.0,-2.6,65.852,0.4441379310344827,290
"('chrIV', 236760, 236989)",-,NM_001180185.1,30.015,-5.1,-3.299999999999999,67.689,0.3860262008733624,229
"('chrIV', 258113, 258266)",-,NM_001180172.1,21.934,-10.5,-3.8,39.327,0.4084967320261438,153
"('chrIV', 257523, 257882)",-,NM_001180172.1,32.002,0.0,-5.099999999999996,83.407,0.3532033426183844,359
"('chrIV', 257420, 257882)",-,NM_001180172.1,41.54,0.0,-4.1,92.515,0.3006493506493506,462
"('chrIV', 258113, 258463)",-,NM_001180172.1,26.19,-5.8,-0.8,70.494,0.3634285714285713,350
"('chrIV', 281055, 281395)",-,NM_001180160.1,34.19,-7.360000000000001,0.0,79.244,0.4008823529411764,340
"('chrIV', 360782, 361074)",-,NM_001180113.1,52.425,0.0,0.0,70.187,0.3763698630136987,292
"('chrIV', 389391, 389878)",-,NM_001180094.1,16.8,-3.5,0.0,132.907,0.2800821355236139,487
"('chrIV', 438666, 439187)",+,NM_001180066.1,31.639,0.0,-1.4950617283950625,151.462,0.2675623800383877,521
"('chrIV', 438666, 439055)",+,NM_001180066.1,26.349,-13.3,0.0,106.455,0.2668380462724936,389
"('chrIV', 438666, 438933)",+,NM_001180066.1,19.05,0.0,0.0,48.997,0.4014981273408239,267
"('chrIV', 445796, 446259)",+,NM_001180062.1,19.89,0.0,0.0,110.685,0.3291576673866091,463
"('chrIV', 445796, 446225)",+,NM_001180062.1,14.268,-4.2,-6.900000000000001,96.587,0.3072261072261072,429
"('chrIV', 495963, 496248)",-,NM_001180335.1,50.517,0.0,-12.05,76.195,0.4922807017543859,285
"('chrIV', 495963, 496258)",-,NM_001180335.1,17.939,-4.2,-7.637804878048783,70.281,0.3766101694915255,295
"('chrIV', 595234, 595444)",+,NM_001180382.1,17.641,-11.947368421052632,-4.773170731707315,47.812,0.4066666666666667,210
"('chrIV', 663545, 663787)",-,NM_001180412.3,22.821,-7.5,0.0,60.403,0.3400826446280992,242
"('chrIV', 665501, 665718)",-,NM_001180413.3,15.587,0.0,0.0,50.349,0.3829493087557603,217
"('chrIV', 665501, 665890)",-,NM_001180413.3,29.318,0.0,0.0,91.266,0.3046272493573265,389
"('chrIV', 691791, 692153)",-,NM_001180428.3,33.242,-24.373626373626355,0.0,108.015,0.3243093922651933,362
"('chrIV', 711629, 711812)",+,NM_001180436.3,21.268,-19.053061224489795,0.0,51.376,0.4601092896174864,183
"('chrIV', 727006, 727242)",-,NM_001180442.3,36.887,0.0,0.0,46.978,0.4322033898305085,236
"('chrIV', 748711, 748832)",-,NM_001180453.1,15.29,-7.349295774647893,0.0,25.024,0.5446280991735537,121
"('chrIV', 774664, 775004)",+,NM_001180466.3,35.796,0.0,0.0,95.22,0.3458823529411764,340
"('chrIV', 772355, 772733)",+,NM_001180466.3,30.824,0.0,-6.694736842105264,91.516,0.2642857142857143,378
"('chrIV', 792419, 792719)",-,NM_001180476.1,23.81,0.0,-13.0,67.779,0.3826666666666667,300
"('chrIV', 799174, 799512)",-,NM_001180477.3,35.619,0.0,0.0,57.918,0.3781065088757397,338
"('chrIV', 824903, 825416)",+,NM_001180488.3,23.327,0.0,0.0,128.18,0.2828460038986354,513
"('chrIV', 855102, 855233)",-,NM_001180508.3,22.822,-1.9666666666666663,-1.8,18.492,0.5916030534351144,131
"('chrIV', 918038, 918489)",+,NM_001180535.1,21.42,0.0,0.0,105.709,0.2807095343680709,451
"('chrIV', 933975, 934146)",+,NM_001180543.1,33.556,0.0,-3.2,37.528,0.3771929824561403,171
"('chrIV', 938955, 939246)",-,NM_001180546.3,24.899,-13.011111111111113,-6.535714285714287,79.555,0.325085910652921,291
"('chrIV', 967245, 967532)",-,NM_001180563.3,34.859,0.0,-4.473170731707315,66.514,0.2616724738675958,287
"('chrIV', 974698, 974892)",-,NM_001180567.3,51.343,0.0,-1.2,31.509,0.4556701030927835,194
"('chrIV', 997509, 997862)",-,NM_001180572.1,21.684,-3.7,0.0,93.497,0.2875354107648725,353
"('chrIV', 1000161, 1000503)",-,NM_001180574.3,30.321,-9.2,-5.0,66.013,0.3157894736842105,342
"('chrIV', 1038566, 1038724)",-,NM_001180597.1,25.496,-9.0,0.0,31.331,0.3531645569620253,158
"('chrIV', 1040842, 1041088)",+,NM_001180599.3,26.981,0.0,0.0,76.985,0.4467479674796748,246
"('chrIV', 1062223, 1062592)",-,NM_001180608.3,14.284,-12.757142857142856,-5.699999999999994,75.285,0.2907859078590786,369
"('chrIV', 1138762, 1138974)",+,NM_001180642.1,31.321,-9.8,0.0,42.883,0.4132075471698113,212
"('chrIV', 1155210, 1155630)",-,NM_001180650.3,36.824,0.0,-7.98421052631579,130.634,0.2957142857142856,420
"('chrIV', 1154394, 1154646)",-,NM_001180650.3,63.027,0.0,0.0,48.71,0.4158730158730159,252
"('chrIV', 1160602, 1161022)",-,NM_001180651.1,24.668,0.0,-7.3315789473684285,129.194,0.3080952380952381,420
"('chrIV', 1159786, 1160038)",-,NM_001180651.1,45.914,-10.166666666666666,-3.525,55.942,0.3904761904761905,252
"('chrIV', 1163951, 1164371)",-,NM_001180653.1,32.9,0.0,-2.0,122.958,0.3790476190476191,420
"('chrIV', 1163126, 1163387)",-,NM_001180653.1,41.345,0.0,-10.770114942528728,40.662,0.3444444444444444,261
"('chrIV', 1163126, 1163606)",-,NM_001180653.1,47.606,0.0,-7.081355932203395,106.293,0.351875,480
"('chrIV', 1192866, 1193026)",-,NM_001180667.3,26.728,-5.087500000000001,-7.3,28.198,0.4206249999999999,160
"('chrIV', 1246600, 1246756)",+,NM_001180694.3,21.392,-13.163636363636364,0.0,43.495,0.4814102564102563,156
"('chrIV', 1255935, 1256467)",-,NM_001180698.3,36.616,-12.45,-2.1,144.834,0.3122180451127819,532
"('chrIV', 1255935, 1256143)",-,NM_001180698.3,27.433,-9.0,0.0,40.022,0.3942307692307692,208
"('chrIV', 1259270, 1259549)",+,NM_001180700.1,16.53,0.0,-3.06,47.583,0.3193548387096774,279
"('chrIV', 1270209, 1270675)",+,NM_001180707.3,20.788,-9.016666666666666,0.0,120.035,0.2566523605150214,466
"('chrIV', 1290608, 1290922)",+,NM_001180717.3,12.762,0.0,0.0,82.059,0.3929936305732485,314
"('chrIV', 1290717, 1290922)",+,NM_001180717.3,25.155,-8.3,0.0,40.954,0.4239024390243903,205
"('chrIV', 1290717, 1291177)",+,NM_001180717.3,55.718,0.0,-7.703571428571425,113.648,0.3256521739130436,460
"('chrIV', 1304353, 1304722)",+,NM_001180727.3,35.819,0.0,0.0,86.725,0.3300813008130081,369
"('chrIV', 1315422, 1315862)",-,NM_001180730.3,30.12,0.0,0.0,116.558,0.3170454545454545,440
"('chrIV', 1346913, 1347197)",-,NM_001180751.3,35.877,0.0,-6.591489361702128,40.721,0.3464788732394366,284
"('chrIV', 1374745, 1374900)",+,NM_001180765.3,17.796,-7.230769230769231,0.0,32.549,0.4593548387096773,155
"('chrIV', 1374406, 1374900)",+,NM_001180765.3,28.605,-13.7,0.0,123.267,0.3161943319838056,494
"('chrIV', 1375506, 1375839)",+,NM_001180765.3,20.085,-21.86666666666668,-5.457575757575758,86.177,0.3489489489489489,333
"('chrIV', 1437122, 1437278)",+,NM_001180802.3,45.835,-4.879746835443039,-9.87,25.427,0.4551282051282051,156
"('chrIV', 1482055, 1482259)",-,NM_001180828.3,24.395,0.0,0.0,36.462,0.4715686274509804,204
"('chrIV', 1486305, 1486555)",-,NM_001180831.1,18.754,0.0,-8.38833333333334,55.72,0.4412,250
"('chrIX', 11949, 12435)",+,NM_001179519.1,52.365,0.0,-5.233333333333333,144.816,0.3351851851851851,486
"('chrIX', 65531, 66056)",-,NM_001179497.3,43.245,0.0,0.0,114.149,0.2756190476190476,525
"('chrIX', 167134, 167415)",+,NM_001179454.1,30.274,-16.32857142857143,0.0,81.823,0.4,281
"('chrIX', 167120, 167415)",+,NM_001179454.1,21.116,-7.2,0.0,70.705,0.3305084745762712,295
"('chrIX', 172577, 172919)",+,NM_001179451.1,9.919,0.0,0.0,81.117,0.3535087719298245,342
"('chrIX', 183959, 184128)",+,NM_001179443.1,29.096,0.0,0.0,25.701,0.4242603550295857,169
"('chrIX', 202693, 202779)",-,NM_001179432.1,12.676,-6.864285714285713,0.0,16.957,0.4267441860465116,86
"('chrIX', 209431, 209586)",+,NM_001181434.4,45.437,0.0,0.0,24.38,0.447741935483871,155
"('chrIX', 220123, 220554)",-,NM_001179425.1,25.711,-18.7,0.0,116.573,0.2651972157772621,431
"('chrIX', 220123, 220377)",-,NM_001179425.1,24.969,0.0,0.0,53.901,0.3716535433070865,254
"('chrIX', 227974, 228212)",+,NM_001179422.3,47.845,0.0,0.0,50.302,0.4348739495798319,238
"('chrIX', 236661, 236762)",-,NM_001179417.1,9.648,-10.6,0.0,24.961,0.501980198019802,101
"('chrIX', 236661, 237101)",-,NM_001179417.1,18.078,0.0,0.0,130.543,0.29,440
"('chrIX', 408622, 408879)",+,NM_001179550.3,0.045,0.0,-1.5333333333333332,73.054,0.3486381322957199,257
"('chrVI', 33856, 34103)",-,NM_001179917.1,47.554,0.0,0.0,60.09,0.3757085020242915,247
"('chrVI', 73218, 73530)",-,NM_001179933.1,15.32,-7.456363636363637,-6.14736842105264,67.448,0.3413461538461538,312
"('chrVI', 85793, 86021)",-,NM_001179941.1,25.714,-9.649999999999997,-1.8666666666666665,43.759,0.3614035087719298,228
"('chrVI', 219744, 219997)",-,NM_001179996.2,13.437,0.0,-8.762886597938145,51.4,0.3466403162055335,253
"('chrVI', 237656, 238004)",-,NM_001180006.3,39.746,-10.4,-7.214285714285711,99.054,0.3491379310344827,348
"('chrXI', 32489, 32956)",-,NM_001179778.1,32.518,0.0,-5.1,130.975,0.2809421841541756,467
"('chrXI', 42970, 43301)",-,NM_001179774.1,26.674,0.0,0.0,85.003,0.2830815709969789,331
"('chrXI', 42555, 42813)",-,NM_001179774.1,16.252,-9.7,0.0,71.261,0.4488372093023255,258
"('chrXI', 147771, 148067)",-,NM_001179728.1,28.232,-10.545833333333336,0.0,61.384,0.3777027027027028,296
"('chrXI', 211967, 212292)",+,NM_001179690.1,26.066,0.0,0.0,69.945,0.2901538461538461,325
"('chrXI', 212040, 212292)",+,NM_001179690.1,22.989,0.0,0.0,58.325,0.3150793650793651,252
"('chrXI', 252742, 253238)",+,NM_001179667.2,32.995,-8.386666666666668,0.0,115.158,0.3282258064516129,496
"('chrXI', 254283, 254454)",-,NM_001179666.1,21.071,-5.5,-3.8,38.708,0.4298245614035088,171
"('chrXI', 273523, 273615)",+,NM_001179655.1,20.833,0.0,-7.932000000000004,11.914,0.5163043478260868,92
"('chrXI', 328817, 329135)",-,NM_001179625.1,45.604,0.0,0.0,74.774,0.3415094339622641,318
"('chrXI', 328817, 329037)",-,NM_001179625.1,34.646,0.0,0.0,41.332,0.3931818181818182,220
"('chrXI', 383823, 383969)",-,NM_001179595.1,21.342,-7.574074074074077,-6.852,31.227,0.4445205479452054,146
"('chrXI', 452216, 452613)",+,NM_001179798.4,5.098,-8.641666666666666,-4.185714285714285,102.803,0.3433249370277078,397
"('chrXI', 460169, 460529)",-,NM_001179800.3,34.217,-15.06200000000001,0.0,74.527,0.3175,360
"('chrXI', 475344, 475461)",-,NM_001179808.1,27.858,-5.3,0.0,24.943,0.4957264957264957,117
"('chrXI', 492532, 492934)",+,NM_001179817.3,29.723,-4.5,0.0,102.837,0.3022388059701493,402
"('chrXI', 594218, 594737)",+,NM_001179872.3,23.289,0.0,0.0,90.831,0.3183044315992293,519
"('chrXI', 602077, 602584)",+,NM_001179876.3,60.303,0.0,-5.0,122.533,0.301577909270217,507
"('chrXI', 602129, 602584)",+,NM_001179876.3,37.777,0.0,-6.299999999999997,119.241,0.3819780219780219,455
"('chrXI', 616858, 617299)",+,NM_001179883.1,30.075,-9.9,-7.899999999999999,101.441,0.3251700680272108,441
"('chrXI', 641930, 642042)",+,NM_001179891.3,19.112,0.0,0.0,27.058,0.5821428571428571,112
"('chrXV', 46870, 47023)",-,NM_001183402.1,39.939,-5.78888888888889,-5.7,36.65,0.530718954248366,153
"('chrXV', 99893, 100341)",+,NM_001183370.1,36.747,0.0,0.0,69.491,0.3129464285714286,448
"('chrXV', 319342, 319788)",+,NM_001183258.1,45.439,0.0,0.0,83.197,0.3616591928251121,446
"('chrXV', 319384, 319788)",+,NM_001183258.1,23.165,-3.9,0.0,102.711,0.3034653465346534,404
"('chrXV', 333938, 334345)",+,NM_001183423.1,27.537,0.0,-2.0,82.912,0.3771498771498772,407
"('chrXV', 360521, 360801)",-,NM_001183435.1,16.292,-10.3,0.0,67.302,0.3239285714285714,280
"('chrXV', 387908, 388313)",+,NM_001183449.1,32.537,-4.0,0.0,96.006,0.3464197530864198,405
"('chrXV', 434574, 434919)",-,NM_001183477.1,58.458,-6.8,-6.2,96.393,0.3457971014492753,345
"('chrXV', 469828, 470127)",-,NM_001183495.1,18.004,0.0,0.0,90.367,0.2839464882943144,299
"('chrXV', 508738, 509158)",-,NM_001183517.1,32.41,0.0,0.0,73.368,0.3119047619047619,420
"('chrXV', 513338, 513530)",-,NM_001183519.1,27.122,-15.312500000000004,-8.099999999999998,32.344,0.3692708333333333,192
"('chrXV', 517707, 517858)",+,NM_001183523.1,9.555,-11.625,-6.799999999999997,43.36,0.3973509933774834,151
"('chrXV', 526921, 527258)",+,NM_001183528.3,28.818,-7.024390243902439,0.0,83.067,0.3747774480712166,337
"('chrXV', 526921, 527313)",+,NM_001183528.3,8.937,0.0,0.0,107.11,0.2706632653061224,392
"('chrXV', 527184, 527258)",+,NM_001183528.3,19.71,0.0,0.0,15.183,0.481081081081081,74
"('chrXV', 527184, 527313)",+,NM_001183528.3,18.792,-11.860869565217383,0.0,27.382,0.3930232558139533,129
"('chrXV', 529944, 530192)",+,NM_001183529.1,44.346,0.0,-6.057894736842104,48.827,0.332258064516129,248
"('chrXV', 539779, 540106)",-,NM_001183535.1,25.453,0.0,-4.86931818181818,97.804,0.3681957186544342,327
"('chrXV', 607840, 607939)",+,NM_001183566.3,28.894,0.0,0.0,17.698,0.5303030303030303,99
"('chrXV', 607840, 608332)",+,NM_001183566.3,25.82,0.0,0.0,123.587,0.3434959349593495,492
"('chrXV', 661222, 661470)",-,NM_001183594.1,28.893,0.0,-2.700000000000001,56.781,0.4241935483870967,248
"('chrXV', 674384, 674503)",-,NM_001183599.3,52.655,0.0,-3.3999999999999995,27.288,0.5218487394957984,119
