ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe
"('chrIV', 399561, 399684)",+,,18.0,0,0,0.0,0.0,0.0,0.0,0.0,22,0,0.34146341463414637
"('chrI', 87587, 87700)",+,,20.0,0,0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,19,0,0.4336283185840708
"('chrV', 432871, 433396)",+,,71.0,0,0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,53,0,0.3142857142857143
"('chrIV', 630105, 630373)",+,,59.0,0,0,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.0,23,0,0.5932835820895522
"('chrV', 158794, 158887)",-,,33.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.0,8,0,0.5913978494623656
"('chrIII', 172915, 172998)",-,,28.0,-1,0,0.0,0.0,0.0,0.0,0.0,7,0,0.7349397590361446
"('chrIX', 127861, 128348)",+,,32.0,0,0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,60,1,0.35728952772073924
"('chrXVI', 677993, 678079)",-,,57.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9883720930232558
"('chrIV', 431186, 431272)",-,,36.0,0,0,0.0,0.42857142857142855,0.0,0.0,0.0,3,0,0.6395348837209303
"('chrVII', 859060, 859273)",-,,59.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,19,0,0.6291079812206573
"('chrXIV', 501356, 501702)",+,,67.0,0,0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,30,0,0.6502890173410405
"('chrII', 426316, 426673)",-,,40.0,0,0,0.0,0.0,0.0,0.0,0.0,57,2,0.39775910364145656
"('chrIV', 1266569, 1266661)",-,,20.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,21,0,0.5978260869565217
"('chrXIII', 517763, 518085)",+,,52.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,31,0,0.5031055900621118
"('chrIII', 294139, 294193)",+,,20.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0.7592592592592593
"('chrXIII', 855016, 855098)",+,,42.0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0.7317073170731707
"('chrVIII', 251355, 251448)",+,,51.0,0,0,0.0,0.0,0.0,0.0,0.0,4,0,0.8709677419354839
"('chrXIV', 557810, 557884)",+,,39.0,0,0,0.0,0.42857142857142855,0.0,0.0,0.0,4,0,0.8783783783783784
"('chrII', 679742, 679839)",-,,23.0,0,0,0.0,0.0,0.14285714285714285,0.0,0.0,6,0,0.7319587628865979
"('chrI', 142453, 142819)",+,,24.0,0,0,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.0,64,0,0.5382513661202186
"('chrII', 45844, 46177)",+,,41.0,0,0,0.42857142857142855,0.0,0.0,-16.7,0.0,32,0,0.5225225225225225
"('chrXV', 867349, 867786)",+,,73.0,0,0,0.0,0.42857142857142855,0.0,0.0,-9.4,58,0,0.5263157894736842
"('chrVII', 311215, 311726)",+,,26.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,132,0,0.1898238747553816
"('chrIV', 322482, 322903)",+,,232.0,0,0,0.0,0.7142857142857143,0.42857142857142855,0.0,0.0,30,0,0.6555819477434679
"('chrXVI', 654367, 654770)",+,,97.0,0,0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,28,0,0.5062034739454094
"('chrIV', 491759, 492098)",+,,6.0,-1,0,0.5714285714285714,0.0,0.8571428571428571,0.0,0.0,43,1,0.4749262536873156
"('chrII', 604714, 605127)",+,,18.0,0,0,0.42857142857142855,0.0,0.0,0.0,0.0,41,0,0.36803874092009686
"('chrXIII', 732665, 733075)",+,,155.0,0,-1,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,30,0,0.5048780487804878
"('chrV', 269551, 269948)",-,,30.0,0,0,0.0,0.7142857142857143,0.0,0.0,0.0,44,0,0.5743073047858942
"('chrIX', 256354, 256826)",-,,98.0,0,0,0.0,0.42857142857142855,0.0,0.0,0.0,47,0,0.3580508474576271
"('chrXV', 80560, 80974)",+,,58.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,49,0,0.47101449275362317
"('chrXVI', 282340, 282865)",+,,98.0,0,0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,67,0,0.5009523809523809
"('chrVIII', 147916, 148466)",-,,81.0,0,0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,44,0,0.38
"('chrVII', 365326, 365785)",-,,28.0,0,0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,42,0,0.5228758169934641
"('chrVII', 364764, 365232)",-,,33.0,0,0,0.0,0.42857142857142855,0.0,-7.2,0.0,62,0,0.3547008547008547
"('chrX', 702598, 702854)",-,,40.0,0,0,0.7142857142857143,0.0,0.0,0.0,-9.9,22,0,0.51953125
"('chrX', 76138, 76524)",+,,35.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.0,41,0,0.6010362694300518
"('chrIX', 316971, 317371)",+,,81.0,0,0,0.0,0.0,0.0,0.0,0.0,68,1,0.385
"('chrIV', 1450257, 1450646)",-,,119.0,0,0,0.42857142857142855,0.0,0.0,0.0,0.0,33,0,0.39845758354755784
"('chrXIII', 499678, 499951)",-,,20.0,0,0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.0,52,0,0.43223443223443225
"('chrVII', 439293, 439523)",+,,58.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,34,0,0.5043478260869565
"('chrVII', 556030, 556507)",+,,46.0,0,0,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.0,0.0,63,1,0.3731656184486373
"('chrII', 88932, 89240)",-,,63.0,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0.5584415584415584
"('chrXIII', 223180, 223581)",-,,189.0,0,0,0.0,0.42857142857142855,0.0,0.0,0.0,25,0,0.5461346633416458
"('chrXIII', 226091, 226489)",+,,15.0,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,-9.0,42,0,0.44221105527638194
"('chrXVI', 795229, 795594)",+,,53.0,0,0,0.0,0.5714285714285714,0.0,0.0,-8.1,35,0,0.6109589041095891
"('chrVII', 920864, 921319)",+,,48.0,0,0,0.0,0.0,0.14285714285714285,0.0,0.0,49,1,0.6791208791208792
"('chrIV', 1360169, 1360604)",+,,46.0,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,95,1,0.33793103448275863
"('chrXII', 263405, 263794)",+,,100.0,0,0,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,48,0,0.5578406169665809
"('chrIII', 177706, 178013)",-,,17.0,0,0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,51,0,0.3745928338762215
"('chrIV', 307133, 307565)",-,,90.0,0,0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,48,0,0.4236111111111111
"('chrXIV', 494324, 494773)",-,,64.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,56,0,0.3184855233853007
"('chrVIII', 505047, 505316)",-,,22.0,0,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,23,0,0.48698884758364314
"('chrVII', 727238, 727557)",+,,70.0,0,0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.0,34,0,0.5297805642633229
"('chrX', 156589, 157049)",-,,18.0,0,0,0.7142857142857143,0.0,0.5714285714285714,0.0,0.0,50,0,0.43043478260869567
"('chrII', 333075, 333586)",+,,122.0,0,-1,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,43,0,0.6477495107632094
"('chrXI', 109777, 110083)",+,,27.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.0,30,0,0.6045751633986928
"('chrXI', 432234, 432632)",+,,14.0,0,0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.0,-10.6,57,0,0.3316582914572864
"('chrV', 397010, 397481)",+,,45.0,0,0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.0,68,1,0.3970276008492569
"('chrIV', 230219, 230520)",+,,79.0,0,0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,35,2,0.33554817275747506
"('chrX', 91294, 91611)",+,,169.0,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,11,0,0.6246056782334385
"('chrVIII', 126751, 127312)",+,,45.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,81,0,0.39037433155080214
"('chrXIV', 62172, 62723)",-,,86.0,0,0,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.0,0.0,63,0,0.3684210526315789
"('chrXV', 506137, 506538)",+,,82.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,48,1,0.4463840399002494
"('chrVII', 437741, 438197)",-,,92.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,39,0,0.6995614035087719
"('chrIX', 98895, 99185)",-,,19.0,0,0,0.0,0.0,0.42857142857142855,0.0,-5.0,54,0,0.40344827586206894
"('chrXVI', 75785, 76023)",-,,21.0,0,0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,32,0,0.3739495798319328
"('chrXV', 93643, 94090)",-,,29.0,0,0,1.0,0.0,0.0,-5.8,0.0,82,0,0.3534675615212528
"('chrXII', 522869, 523228)",+,,42.0,0,0,0.0,0.0,0.14285714285714285,0.0,0.0,53,0,0.48467966573816157
"('chrXI', 283295, 283621)",+,,43.0,0,0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,51,0,0.43558282208588955
"('chrIV', 117866, 118357)",+,,37.0,0,-1,0.0,1.0,0.7142857142857143,0.0,0.0,57,0,0.5254582484725051
"('chrII', 592216, 592568)",-,,130.0,0,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,34,0,0.6221590909090909
"('chrII', 168624, 169008)",+,,99.0,0,0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,34,0,0.4192708333333333
"('chrIV', 308627, 308992)",+,,91.0,0,0,0.0,0.42857142857142855,0.7142857142857143,0.0,-3.8,46,0,0.473972602739726
"('chrXII', 242521, 242880)",+,,26.0,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,46,0,0.49025069637883006
"('chrXII', 931149, 931498)",-,,65.0,0,0,0.0,0.7142857142857143,0.0,0.0,0.0,47,0,0.5071633237822349
"('chrIX', 68915, 69349)",+,,28.0,0,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,115,1,0.35714285714285715
"('chrVIII', 382106, 382547)",-,,80.0,0,0,0.0,0.0,0.5714285714285714,0.0,-4.4,26,0,0.5374149659863946
"('chrII', 59993, 60497)",-,,43.0,0,0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.0,41,0,0.42658730158730157
"('chrIV', 579678, 580217)",+,,29.0,0,0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.0,0.0,57,0,0.2782931354359926
"('chrXVI', 377795, 378189)",-,,92.0,0,-1,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,49,0,0.5736040609137056
"('chrV', 306525, 306991)",+,,135.0,0,0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,58,0,0.45493562231759654
"('chrXI', 618174, 618542)",-,,41.0,0,0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,-8.7,95,1,0.3423913043478261
"('chrXII', 898357, 898845)",+,,111.0,0,0,0.0,0.8571428571428571,0.0,0.0,0.0,37,0,0.4733606557377049
"('chrII', 606480, 606868)",+,,72.0,0,0,1.0,0.0,0.14285714285714285,0.0,-2.7,31,1,0.4484536082474227
"('chrXIV', 443626, 443971)",-,,29.0,0,0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,38,1,0.518840579710145
"('chrV', 423790, 424151)",+,,188.0,0,0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,31,0,0.6952908587257618
"('chrXV', 92240, 92630)",-,,36.0,0,0,0.0,0.0,0.14285714285714285,0.0,0.0,54,0,0.4
"('chrXVI', 406846, 407267)",+,,14.0,0,0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,62,0,0.5415676959619953
"('chrXV', 778659, 779186)",-,,58.0,0,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,72,1,0.49335863377609107
"('chrV', 362932, 363292)",+,,109.0,0,0,0.0,0.0,0.0,0.0,0.0,37,0,0.5388888888888889
"('chrIV', 217802, 218207)",+,,39.0,0,0,0.0,1.0,0.7142857142857143,0.0,0.0,62,1,0.49876543209876545
"('chrXIV', 331525, 332037)",+,,81.0,0,0,0.0,0.0,0.0,0.0,0.0,37,0,0.478515625
"('chrVII', 534273, 534585)",-,,51.0,0,0,0.0,0.8571428571428571,0.0,0.0,0.0,42,0,0.4358974358974359
"('chrII', 414553, 415059)",-,,45.0,0,-1,0.0,0.5714285714285714,0.0,-6.6,0.0,71,0,0.42292490118577075
"('chrXI', 158815, 159166)",+,,39.0,0,0,0.0,0.14285714285714285,0.0,0.0,0.0,56,0,0.50997150997151
"('chrXI', 551880, 552202)",+,,34.0,0,0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,23,0,0.4503105590062112
"('chrVII', 787586, 787978)",-,,44.0,0,0,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.0,0.0,45,1,0.5408163265306123
"('chrXII', 819530, 819977)",+,,106.0,0,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,28,1,0.3870246085011186
"('chrXV', 900567, 900993)",-,,143.0,0,0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0,0.0,38,0,0.4460093896713615
"('chrXIII', 552151, 552695)",+,,156.0,0,0,0.42857142857142855,0.0,0.0,0.0,0.0,58,0,0.5588235294117647
"('chrXII', 795712, 796135)",-,,19.0,0,-1,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.0,0.0,55,1,0.5981087470449172
"('chrXII', 1029068, 1029452)",+,,90.0,0,0,0.0,1.0,0.5714285714285714,0.0,0.0,40,0,0.3645833333333333
"('chrIV', 1402000, 1402384)",+,,53.0,0,0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.0,0.0,78,0,0.3828125
"('chrXIII', 550601, 551003)",-,,32.0,0,-1,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,57,0,0.4577114427860697
"('chrIX', 231757, 232166)",-,,59.0,0,0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.0,50,0,0.5672371638141809
"('chrXIII', 753542, 754019)",-,,149.0,0,0,0.0,0.7142857142857143,0.0,0.0,0.0,30,0,0.5010482180293501
"('chrIV', 1355036, 1355350)",-,,81.0,0,0,0.0,0.8571428571428571,0.0,0.0,0.0,26,0,0.5063694267515924
"('chrVI', 223240, 223571)",-,,118.0,0,0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,29,0,0.5045317220543807
"('chrVI', 221067, 221214)",-,,41.0,0,-1,0.0,0.0,0.42857142857142855,0.0,0.0,17,0,0.38095238095238093
"('chrXIII', 651360, 651823)",+,,70.0,0,-1,0.0,0.42857142857142855,0.14285714285714285,-7.2,0.0,58,0,0.5075593952483801
"('chrX', 73996, 74404)",+,,40.0,0,0,0.0,0.42857142857142855,0.2857142857142857,-10.1,0.0,64,0,0.32107843137254904
"('chrVIII', 104605, 105003)",+,,31.0,0,-1,0.0,0.42857142857142855,0.8571428571428571,0.0,-12.5,59,0,0.49748743718592964
"('chrXIII', 123542, 123957)",-,,36.0,0,0,0.2857142857142857,0.42857142857142855,1.0,0.0,0.0,74,0,0.41445783132530123
"('chrXII', 856774, 857257)",+,,30.0,0,0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,0.0,89,1,0.36024844720496896
"('chrXV', 678179, 678590)",-,,161.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,33,0,0.5425790754257908
"('chrX', 608506, 608781)",+,,85.0,0,0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,47,0,0.4727272727272727
"('chrXIII', 163108, 163516)",-,,48.0,0,0,0.0,0.8571428571428571,0.0,0.0,-5.8,41,0,0.5686274509803921
"('chrXVI', 405156, 405657)",+,,37.0,0,0,0.2857142857142857,1.0,0.0,0.0,0.0,82,0,0.26147704590818366
"('chrXIV', 63818, 64250)",-,,38.0,0,0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.0,0.0,41,0,0.3287037037037037
"('chrIV', 340610, 341019)",-,,49.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,35,0,0.5574572127139364
"('chrVII', 148398, 148766)",-,,133.0,0,0,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,34,0,0.5570652173913043
"('chrVI', 64399, 64720)",-,,24.0,0,0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,34,1,0.470404984423676
"('chrXIV', 721570, 722102)",-,,139.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,58,0,0.4266917293233083
"('chrXIII', 652575, 652647)",-,,9.0,0,0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,10,0,0.6666666666666666
