ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,ThreeprimeDistStopFeature,RPKMFeature,LengthFeature,LocalizationMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,ZipperStemStartMetric_RNAstructure_mfe_BPP,ZipperStemEndMetric_RNAstructure_mfe_BPP,LongestStemMetric_RNAstructure_mfe_BPP
"('chrXVI', 623577, 623710)",+,,43.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,5,0,0.3308270676691729,28.0,0,0,0.8571428571428571,0.0,0.2857142857142857,-9.2,0.0,19,0,0.3082706766917293,0,0,0.0,0.0,0,,,133,23.34,-9.317857142857154,0.0,33.792,0.4586466165413533,-9.2,0.0,5
"('chrXVI', 883387, 883486)",+,,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.494949494949495,69.0,0,-1,0.0,0.5714285714285714,0.7142857142857143,0.0,0.0,8,0,0.32323232323232326,0,0,0.0,0.0,0,,,99,52.285,0.0,0.0,7.337,0.8020202020202021,0.0,0.0,0
"('chrVIII', 187514, 187676)",-,,34.0,0,0,0.4285714285714285,0.0,0.0,0.0,-12.7,19,0,0.3209876543209876,27.0,0,0,0.0,0.0,0.7142857142857143,0.0,-12.7,16,1,0.30864197530864196,0,0,0.0,-12.7,12,,,162,35.673,0.0,-12.662000000000024,36.575,0.4530864197530865,0.0,-12.7,11
"('chrIV', 715247, 715358)",-,,58.0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0.3513513513513513,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,7,0,0.22522522522522523,0,0,0.0,0.0,0,,,111,7.559,-3.606666666666667,0.0,22.015,0.5702702702702702,0.0,0.0,0
"('chrXIII', 99259, 99375)",-,,29.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,6,0,0.3362068965517241,18.0,0,-1,0.0,0.0,0.8571428571428571,0.0,-1.8,8,0,0.27586206896551724,0,0,0.0,0.0,0,,,116,18.995,-3.4,-1.982692307692306,16.916,0.4586206896551724,0.0,0.0,0
"('chrXIII', 23360, 23658)",-,,77.0,0,0,0.0,0.0,0.0,-22.5,-22.2,28,0,0.2449664429530201,43.0,0,0,0.0,0.0,0.4285714285714285,-25.4,-8.3,35,1,0.2181208053691275,0,0,-22.5,-22.2,13,,,298,28.899,-21.57777777777778,-8.383,70.33,0.3661073825503355,-25.4,0.0,13
"('chrIV', 733702, 733775)",-,,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.4931506849315068,17.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,10,0,0.4383561643835616,0,0,0.0,0.0,0,,,73,15.58,0.0,0.0,16.039,0.5753424657534246,0.0,0.0,0
"('chrIV', 399361, 399484)",+,,77.0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0.3658536585365853,14.0,0,0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0,0.0,37,0,0.45528455284552843,0,0,0.0,0.0,0,,,123,14.842,-9.2,0.0,38.111,0.5040650406504065,0.0,0.0,0
"('chrI', 87387, 87500)",+,,33.0,0,0,0.0,0.0,0.0,0.0,-6.8,7,0,0.336283185840708,22.0,0,0,0.8571428571428571,0.0,0.8571428571428571,0.0,-6.8,9,0,0.2920353982300885,0,0,0.0,-6.8,7,,,113,21.847,0.0,-6.897938144329894,22.47,0.5088495575221239,0.0,-6.8,7
"('chrV', 432671, 433196)",+,,66.0,0,0,0.0,0.0,0.0,0.0,0.0,25,0,0.3142857142857143,11.0,0,0,0.4285714285714285,0.0,0.8571428571428571,0.0,0.0,35,1,0.259047619047619,0,0,0.0,0.0,39,,,525,8.961,0.0,0.0,137.41,0.3900952380952381,0.0,0.0,25
"('chrIV', 629905, 630173)",+,,75.0,0,0,0.4285714285714285,0.0,0.0,0.0,-21.7,19,0,0.2686567164179104,7.0,-1,0,0.8571428571428571,0.8571428571428571,0.0,0.0,-20.3,23,2,0.1828358208955224,0,0,0.0,-21.7,32,,,268,8.885,-10.219230769230764,-20.54299999999997,49.77,0.4067164179104477,0.0,-20.3,14
"('chrV', 158994, 159087)",-,,9.0,-1,0,0.4285714285714285,0.0,0.0,0.0,0.0,6,0,0.3655913978494624,7.0,-1,-1,0.5714285714285714,0.7142857142857143,0.1428571428571428,0.0,0.0,10,0,0.34408602150537637,0,0,0.0,0.0,0,,,93,6.56,-0.6757142857142857,-1.7,17.614,0.5860215053763442,0.0,0.0,0
"('chrIX', 127661, 128148)",+,,49.0,0,0,0.0,0.0,0.1428571428571428,-9.3,0.0,18,1,0.2956878850102669,35.0,0,0,0.0,0.5714285714285714,0.0,-9.5,0.0,21,1,0.23203285420944558,0,0,0.0,0.0,9,,,487,18.219,-10.802247191011228,0.0,137.822,0.3782340862422998,0.0,0.0,9
"('chrXVI', 678193, 678279)",-,,47.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.4534883720930232,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,10,0,0.2558139534883721,0,0,0.0,0.0,0,,,86,7.958,0.0,0.0,12.962,0.6744186046511628,0.0,0.0,0
"('chrIV', 431386, 431472)",-,,47.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.4883720930232558,3.0,-1,-1,0.7142857142857143,0.1428571428571428,0.5714285714285714,0.0,0.0,8,0,0.22093023255813954,0,0,0.0,0.0,0,,,86,9.818,0.0,-4.5,14.285,0.5430232558139536,0.0,0.0,0
"('chrVII', 859260, 859473)",-,,19.0,0,0,0.1428571428571428,0.0,0.4285714285714285,-22.5,0.0,20,1,0.3333333333333333,5.0,-1,0,1.0,0.0,0.8571428571428571,-22.5,0.0,20,2,0.3333333333333333,0,0,-22.5,0.0,20,,,213,5.365,-22.25384615384615,0.0,63.571,0.4384976525821596,-22.5,0.0,20
"('chrXIV', 501156, 501502)",+,,106.0,0,0,0.0,0.0,0.0,0.0,0.0,26,0,0.3815028901734104,3.0,-1,0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,16,2,0.21098265895953758,0,0,0.0,0.0,26,,,346,12.892,-12.017647058823528,0.0,85.632,0.4014450867052023,0.0,0.0,0
"('chrII', 426516, 426873)",-,,34.0,0,0,0.0,0.0,0.0,-12.5,0.0,9,0,0.238095238095238,13.0,0,0,0.4285714285714285,0.5714285714285714,0.0,-12.9,0.0,21,2,0.30532212885154064,0,0,0.0,0.0,8,,,357,12.311,-13.71325301204819,0.0,101.861,0.3770308123249299,0.0,0.0,8
"('chrIV', 1266769, 1266861)",-,,55.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.4456521739130434,5.0,-1,0,0.4285714285714285,0.0,0.8571428571428571,0.0,0.0,22,0,0.33695652173913043,0,0,0.0,0.0,0,,,92,5.074,0.0,-2.5,22.088,0.6,0.0,0.0,0
"('chrXIII', 517563, 517885)",+,,51.0,0,0,0.0,0.0,0.0,-11.7,0.0,13,0,0.2639751552795031,5.0,0,0,1.0,0.0,0.5714285714285714,0.0,0.0,29,1,0.2484472049689441,0,0,0.0,0.0,0,,,322,8.768,0.0,-3.1,84.472,0.4111801242236024,0.0,0.0,0
"('chrXIII', 854816, 854898)",+,,31.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,6,0,0.3292682926829268,8.0,0,0,0.7142857142857143,0.0,0.8571428571428571,0.0,0.0,6,0,0.2073170731707317,0,0,0.0,0.0,6,,,82,14.533,-5.2,0.0,15.926,0.4792682926829268,0.0,0.0,6
"('chrVIII', 251155, 251248)",+,,43.0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,0.4301075268817204,30.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,14,0,0.3870967741935484,0,0,0.0,0.0,0,,,93,20.523,-2.35,0.0,17.906,0.4956989247311827,0.0,0.0,0
"('chrXIV', 557610, 557684)",+,,36.0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,0.4459459459459459,1.0,-1,0,0.7142857142857143,0.0,0.5714285714285714,0.0,0.0,19,0,0.3783783783783784,-1,0,0.0,0.0,8,,,74,9.141,0.0,0.0,18.447,0.5662162162162161,0.0,0.0,8
"('chrI', 142253, 142619)",+,,53.0,0,0,0.0,0.0,0.0,-13.5,0.0,25,0,0.2950819672131147,14.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,27,0,0.2568306010928962,0,0,0.0,0.0,22,,,366,16.252,-11.91428571428571,-2.6684210526315773,96.678,0.3295081967213115,0.0,0.0,19
"('chrII', 45644, 45977)",+,,56.0,0,0,0.0,0.0,0.0,-21.8,0.0,17,0,0.3033033033033033,19.0,0,0,0.4285714285714285,0.0,0.7142857142857143,-22.5,0.0,22,2,0.2822822822822823,0,0,-21.8,0.0,14,,,333,17.741,-22.153535353535364,-1.0,86.789,0.3720720720720721,-22.5,0.0,14
"('chrXV', 867149, 867586)",+,,74.0,0,0,0.0,0.0,0.0,0.0,-12.8,12,0,0.3112128146453089,14.0,0,0,0.5714285714285714,0.0,0.4285714285714285,-22.5,-13.6,22,2,0.2288329519450801,0,0,0.0,-12.8,9,,,437,19.366,-25.89534883720929,-13.327999999999983,119.423,0.3331807780320366,0.0,-13.6,9
"('chrVII', 311015, 311526)",+,,57.0,0,0,0.0,0.0,0.0,-11.1,-4.3,59,1,0.3052837573385518,12.0,0,-1,0.0,1.0,0.4285714285714285,-11.1,0.0,57,2,0.299412915851272,0,0,0.0,-4.3,45,,,511,13.463,-28.89090909090912,-4.576000000000003,160.761,0.3876712328767123,0.0,0.0,26
"('chrIV', 322282, 322703)",+,,76.0,0,0,0.0,0.0,0.0,-11.7,0.0,8,0,0.3990498812351544,32.0,0,0,0.0,0.2857142857142857,0.0,-13.4,0.0,23,2,0.23515439429928742,0,0,-11.7,0.0,8,,,421,31.027,-13.020000000000012,0.0,104.176,0.3071258907363421,-13.4,0.0,8
"('chrXVI', 654167, 654570)",+,,70.0,0,0,0.0,0.0,0.0,-22.2,0.0,15,1,0.3498759305210918,35.0,0,0,0.4285714285714285,0.0,0.0,-21.7,0.0,36,0,0.29280397022332505,0,0,-22.2,0.0,14,,,403,32.359,-25.07299999999999,0.0,100.485,0.3699751861042183,-21.7,0.0,14
"('chrIV', 491559, 491898)",+,,48.0,0,0,0.0,0.0,0.0,-23.7,0.0,21,0,0.3982300884955752,25.0,0,0,0.5714285714285714,0.5714285714285714,0.0,-26.8,0.0,27,1,0.22713864306784662,-1,0,-23.7,0.0,21,,,339,20.994,-23.679761904761897,0.0,93.462,0.3176991150442477,-26.8,0.0,22
"('chrII', 604514, 604927)",+,,34.0,0,0,0.0,0.0,0.0,0.0,0.0,33,0,0.2953995157384987,24.0,0,0,0.5714285714285714,0.0,0.5714285714285714,-15.4,0.0,58,1,0.31476997578692495,0,0,0.0,0.0,36,,,413,23.115,-18.55217391304348,0.0,117.878,0.3673123486682809,0.0,0.0,21
"('chrXIII', 732465, 732875)",+,,62.0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.3414634146341463,34.0,0,0,1.0,0.0,0.2857142857142857,0.0,0.0,14,0,0.15121951219512195,0,0,0.0,0.0,0,,,410,33.357,0.0,-4.7,106.981,0.3317073170731707,0.0,0.0,0
"('chrV', 269751, 270148)",-,,87.0,0,0,0.0,0.0,0.0,0.0,-8.0,15,0,0.345088161209068,5.0,0,0,1.0,0.0,0.7142857142857143,0.0,-8.0,20,0,0.21662468513853905,0,0,0.0,-8.0,10,,,397,10.882,0.0,-7.9929292929292926,102.314,0.2949622166246851,0.0,-8.0,10
"('chrIX', 256554, 257026)",-,,102.0,0,0,0.0,0.0,0.0,0.0,0.0,25,1,0.2733050847457627,14.0,0,0,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,-3.0,27,1,0.19491525423728814,0,0,0.0,0.0,15,,,472,16.285,-9.553846153846155,-3.343902439024391,131.634,0.3152542372881355,0.0,0.0,12
"('chrXV', 80360, 80774)",+,,48.0,0,-1,0.0,0.8571428571428571,0.8571428571428571,-12.7,-5.5,16,0,0.2995169082125604,1.0,-1,-1,0.7142857142857143,0.0,0.5714285714285714,-12.7,-5.5,51,0,0.3502415458937198,0,-1,-12.7,-5.5,23,,,414,5.033,-17.96400000000001,-5.529090909090909,109.127,0.4108695652173913,-12.7,-5.5,16
"('chrXVI', 282140, 282665)",+,,77.0,0,0,0.0,0.0,0.0,-14.4,0.0,14,0,0.3333333333333333,5.0,-1,-1,0.7142857142857143,0.0,0.7142857142857143,-14.8,0.0,22,1,0.2914285714285714,0,0,-14.4,0.0,24,,,525,15.244,-14.628999999999994,0.0,131.294,0.4201904761904762,-14.8,0.0,14
"('chrVIII', 148116, 148666)",-,,64.0,0,0,0.0,0.0,0.0,-13.6,-8.5,11,0,0.34,28.0,0,0,0.8571428571428571,0.7142857142857143,0.8571428571428571,-13.6,-1.8,29,5,0.30727272727272725,0,0,0.0,-8.5,11,,,550,26.595,-14.812371134020614,-6.703061224489799,157.681,0.3932727272727273,0.0,0.0,5
"('chrVII', 365526, 365985)",-,,84.0,0,0,0.0,0.0,0.0,-27.3,0.0,40,2,0.3725490196078431,22.0,0,0,0.7142857142857143,0.7142857142857143,0.5714285714285714,-28.5,0.0,40,0,0.23093681917211328,0,0,-27.3,0.0,70,,,459,19.377,-27.760975609756105,-2.5,130.062,0.3893246187363833,-28.5,0.0,40
"('chrVII', 364964, 365432)",-,,131.0,0,0,0.0,0.0,0.0,0.0,0.0,13,0,0.282051282051282,12.0,0,0,0.7142857142857143,0.0,1.0,-12.3,0.0,43,1,0.3076923076923077,0,0,0.0,0.0,0,,,468,15.476,-13.498591549295782,0.0,130.868,0.4632478632478632,0.0,0.0,0
"('chrX', 702798, 703054)",-,,74.0,0,0,0.0,0.0,0.0,-11.2,-7.6,11,0,0.28515625,29.0,0,0,0.7142857142857143,0.7142857142857143,0.4285714285714285,0.0,-7.6,17,1,0.19921875,0,0,-11.2,-7.6,11,,,256,26.087,-19.48857142857143,-8.303260869565229,65.984,0.4359375,0.0,-7.6,11
"('chrX', 75938, 76324)",+,,61.0,0,0,0.0,0.0,0.0,-17.4,-6.7,15,0,0.2849740932642487,5.0,0,0,0.7142857142857143,0.0,0.8571428571428571,0.0,-7.6,59,2,0.34974093264248707,0,0,-17.4,0.0,15,,,386,6.314,-17.9625,-7.387368421052642,94.929,0.4199481865284974,0.0,0.0,15
"('chrIX', 316771, 317171)",+,,54.0,0,0,0.0,0.0,0.0,0.0,0.0,12,0,0.2275,34.0,0,0,0.7142857142857143,0.5714285714285714,0.0,-11.8,0.0,30,1,0.1825,0,0,0.0,0.0,6,,,400,29.691,-12.783018867924527,-4.1000000000000005,99.738,0.337,0.0,0.0,6
"('chrIV', 1450457, 1450846)",-,,93.0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,0.3470437017994858,24.0,0,0,0.7142857142857143,0.0,0.8571428571428571,0.0,0.0,34,0,0.19794344473007713,0,0,0.0,0.0,0,,,389,22.386,0.0,0.0,78.691,0.3776349614395887,0.0,0.0,0
"('chrXIII', 499878, 500151)",-,,43.0,0,0,0.0,0.0,0.0,-39.0,0.0,37,0,0.3479853479853479,22.0,0,0,0.4285714285714285,0.7142857142857143,0.5714285714285714,-38.5,0.0,39,0,0.3333333333333333,0,0,-39.0,0.0,31,,,273,23.404,-36.61075268817206,0.0,76.667,0.4490842490842491,-38.5,0.0,17
"('chrVII', 439093, 439323)",+,,50.0,0,0,0.0,0.0,0.0,-17.2,0.0,19,1,0.3304347826086956,32.0,0,0,0.4285714285714285,0.0,0.1428571428571428,0.0,0.0,32,1,0.29130434782608694,-1,0,-17.2,0.0,11,,,230,30.447,-19.41354166666669,-1.5,63.438,0.3878260869565217,0.0,0.0,6
"('chrVII', 555830, 556307)",+,,37.0,0,0,1.0,0.1428571428571428,0.4285714285714285,0.0,0.0,16,0,0.1509433962264151,29.0,0,0,0.8571428571428571,0.2857142857142857,0.2857142857142857,-19.8,0.0,36,2,0.27253668763102723,0,0,0.0,0.0,16,,,477,30.133,-19.16836734693875,0.0,128.174,0.4119496855345911,0.0,0.0,0
"('chrXIII', 223380, 223781)",-,,81.0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.2718204488778055,3.0,-1,0,1.0,0.0,0.2857142857142857,-13.8,-4.7,31,3,0.29177057356608477,0,0,0.0,0.0,5,,,401,7.597,-15.306410256410246,-4.738541666666659,104.094,0.4089775561097256,0.0,-4.7,6
"('chrXIII', 225891, 226289)",+,,43.0,0,0,0.0,0.0,0.0,-10.9,-10.7,22,0,0.2035175879396984,21.0,0,0,0.5714285714285714,0.8571428571428571,0.4285714285714285,-18.8,-10.7,29,1,0.228643216080402,0,0,0.0,-10.7,18,,,398,19.986,-22.79099999999999,-10.70000000000002,116.029,0.3444723618090452,0.0,-10.7,20
"('chrXVI', 795029, 795394)",+,,174.0,0,0,0.0,0.0,0.0,0.0,-6.9,13,0,0.3150684931506849,36.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,-6.9,24,2,0.24383561643835616,0,0,0.0,-6.9,13,,,365,35.21,0.0,-6.993999999999988,101.947,0.3284931506849314,0.0,-6.9,11
"('chrVII', 920664, 921119)",+,,120.0,0,0,0.0,0.0,0.0,0.0,0.0,10,0,0.2725274725274725,13.0,0,0,0.4285714285714285,0.0,0.5714285714285714,0.0,0.0,21,0,0.22417582417582418,0,0,0.0,0.0,0,,,455,28.716,-16.375,0.0,108.563,0.3340659340659341,0.0,0.0,0
"('chrIV', 1359969, 1360404)",+,,40.0,0,0,0.0,0.0,0.2857142857142857,-16.9,0.0,18,0,0.2091954022988505,25.0,0,0,0.4285714285714285,0.4285714285714285,0.2857142857142857,-10.2,0.0,20,0,0.19310344827586207,0,0,-16.9,0.0,59,,,435,23.791,-12.962711864406783,-1.2851851851851857,107.083,0.3314942528735632,0.0,0.0,20
"('chrXII', 263205, 263594)",+,,81.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,14,0,0.2544987146529563,26.0,0,0,0.4285714285714285,0.0,0.5714285714285714,-33.3,0.0,46,2,0.27249357326478146,0,0,0.0,0.0,9,,,389,29.96,-34.751999999999995,0.0,110.39,0.4365038560411311,-33.3,0.0,14
"('chrIII', 177906, 178213)",-,,69.0,0,0,0.0,0.0,0.0,-16.8,-4.3,16,0,0.2866449511400651,25.0,0,0,0.2857142857142857,0.0,0.7142857142857143,-16.8,-4.3,20,0,0.23452768729641693,0,0,-16.8,-4.3,15,,,307,21.51,-16.23229166666664,-4.300000000000007,78.974,0.3560260586319219,-16.8,-4.3,15
"('chrIV', 307333, 307765)",-,,78.0,0,0,0.0,0.0,0.0,0.0,0.0,12,0,0.2060185185185185,17.0,0,0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,-4.9,24,2,0.2337962962962963,0,0,0.0,0.0,26,,,432,42.193,0.0,-4.3,122.561,0.3502314814814815,0.0,0.0,13
"('chrXIV', 494524, 494973)",-,,46.0,0,0,0.0,0.0,0.5714285714285714,-24.5,0.0,21,0,0.2806236080178174,36.0,0,0,0.0,0.0,0.8571428571428571,-17.4,0.0,24,1,0.2806236080178174,0,0,-24.5,0.0,15,,,449,31.207,-23.186000000000007,0.0,111.609,0.2933184855233853,-17.4,0.0,15
"('chrVIII', 505247, 505516)",-,,32.0,0,0,0.0,0.0,0.7142857142857143,-14.7,0.0,20,0,0.3159851301115242,33.0,0,0,0.7142857142857143,0.5714285714285714,1.0,0.0,0.0,27,0,0.16356877323420074,0,0,-14.7,0.0,38,,,269,45.649,-11.25,-1.36,75.482,0.3598513011152416,0.0,0.0,12
"('chrVII', 727038, 727357)",+,,55.0,0,0,0.0,0.0,0.0,-12.3,0.0,15,0,0.3542319749216301,23.0,0,0,0.1428571428571428,0.0,0.1428571428571428,-12.0,0.0,32,0,0.3072100313479624,0,0,-12.3,0.0,32,,,319,26.874,-14.412244897959177,0.0,85.32,0.3695924764890282,-12.0,0.0,13
"('chrX', 156789, 157249)",-,,64.0,0,0,0.0,0.0,0.0,-26.8,0.0,22,0,0.258695652173913,21.0,0,0,0.4285714285714285,0.0,0.4285714285714285,-31.6,0.0,29,2,0.2717391304347826,0,0,-26.8,0.0,18,,,460,18.274,-30.20918367346936,0.0,119.137,0.3404347826086956,-31.6,0.0,15
"('chrII', 332875, 333386)",+,,94.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.2681017612524461,17.0,0,0,1.0,0.7142857142857143,0.1428571428571428,-11.5,0.0,23,1,0.20939334637964774,0,0,0.0,0.0,9,,,511,16.64,-11.487301587301586,0.0,145.349,0.2964774951076321,0.0,0.0,7
