ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe
"('chrV', 329345, 329806)",+,,15.0,0,0,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.0,0.0,10,0,0.5119305856832972,7.0,0,0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.0,132,0,0.2754880694143167
"('chrV', 343165, 343374)",-,,62.0,0,0,0.4285714285714285,0.0,0.2857142857142857,0.0,0.0,0,0,0.4736842105263157,20.0,0,-1,0.5714285714285714,0.14285714285714285,0.5714285714285714,-15.0,0.0,26,0,0.3157894736842105
"('chrV', 384187, 384331)",-,,31.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,15,0,0.4583333333333333,18.0,0,0,1.0,0.8571428571428571,0.7142857142857143,-4.1,0.0,44,0,0.4097222222222222
"('chrV', 480660, 480789)",-,,17.0,0,0,0.2857142857142857,0.5714285714285714,0.4285714285714285,0.0,0.0,0,0,0.5658914728682171,13.0,0,0,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.0,0.0,39,0,0.4108527131782946
"('chrV', 507200, 507692)",+,,28.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,21,0,0.4146341463414634,48.0,0,0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,147,2,0.23983739837398374
"('chrX', 167693, 168139)",-,,100.0,0,0,0.0,0.0,0.0,0.0,0.0,12,0,0.5582959641255605,31.0,0,0,0.0,0.0,0.42857142857142855,0.0,-7.1,95,3,0.34977578475336324
"('chrX', 179386, 179860)",-,,63.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,6,0,0.4578059071729958,51.0,0,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,92,0,0.35443037974683544
"('chrX', 215689, 216039)",-,,27.0,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,10,0,0.56,29.0,0,0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0,0.0,91,1,0.3314285714285714
"('chrX', 215104, 215223)",-,,66.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,0,0,0.7563025210084033,27.0,0,0,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.0,0.0,30,1,0.5126050420168067
"('chrX', 383024, 383205)",+,,105.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,0,0,0.8121546961325967,7.0,-1,-1,0.14285714285714285,0.0,0.7142857142857143,0.0,-6.8,42,2,0.4972375690607735
"('chrX', 404121, 404645)",+,,68.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,16,0,0.383587786259542,23.0,0,0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.0,0.0,118,2,0.41030534351145037
"('chrX', 406560, 406920)",+,,45.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,10,0,0.6138888888888889,29.0,0,0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,88,2,0.3416666666666667
"('chrX', 465541, 465680)",-,,47.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,12,0,0.5971223021582733,28.0,0,0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.0,-7.0,33,1,0.6115107913669064
"('chrX', 484101, 484338)",-,,17.0,0,0,0.8571428571428571,0.4285714285714285,0.0,0.0,0.0,0,0,0.6160337552742616,45.0,0,0,0.8571428571428571,0.2857142857142857,0.14285714285714285,-14.0,0.0,59,2,0.37130801687763715
"('chrX', 509017, 509530)",+,,64.0,0,0,0.0,0.1428571428571428,0.0,0.0,0.0,6,0,0.3469785575048733,39.0,0,0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,160,1,0.3235867446393762
"('chrII', 131046, 131236)",-,,6.0,0,-1,0.5714285714285714,0.4285714285714285,0.8571428571428571,0.0,-8.1,6,0,0.4578947368421052,6.0,0,-1,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.0,-8.1,55,0,0.4842105263157895
"('chrII', 518855, 518937)",-,,56.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.7926829268292683,20.0,0,0,0.8571428571428571,0.2857142857142857,0.0,0.0,0.0,10,0,0.4878048780487805
"('chrII', 114058, 114386)",+,,25.0,0,0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.0,0.0,17,0,0.4756097560975609,24.0,0,0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,70,0,0.2530487804878049
"('chrII', 162905, 163172)",-,,149.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,10,0,0.7528089887640449,13.0,0,0,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.0,0.0,48,0,0.449438202247191
"('chrII', 187020, 187213)",-,,20.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,6,0,0.4922279792746113,9.0,0,0,1.0,0.0,0.8571428571428571,0.0,0.0,50,0,0.45595854922279794
"('chrII', 193192, 193708)",+,,41.0,0,0,0.0,0.8571428571428571,0.7142857142857143,0.0,0.0,5,0,0.3527131782945736,43.0,0,0,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.0,0.0,61,0,0.24031007751937986
"('chrII', 219601, 219966)",+,,82.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,5,0,0.6027397260273972,36.0,0,0,0.0,1.0,0.2857142857142857,0.0,0.0,118,4,0.3041095890410959
"('chrII', 292745, 293005)",-,,108.0,0,0,0.0,0.7142857142857143,0.4285714285714285,0.0,0.0,8,0,0.5076923076923077,47.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,26,0,0.39615384615384613
"('chrII', 384231, 384323)",+,,58.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.717391304347826,21.0,0,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,14,0,0.5652173913043478
"('chrII', 433676, 434135)",+,,45.0,0,0,0.0,0.1428571428571428,0.4285714285714285,0.0,0.0,7,0,0.5620915032679739,43.0,0,0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,0.0,120,1,0.2657952069716776
"('chrII', 469455, 469802)",+,,23.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,11,0,0.4783861671469741,28.0,0,0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.0,0.0,48,1,0.3515850144092219
"('chrII', 603321, 603515)",+,,53.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,9,0,0.4329896907216495,35.0,0,0,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,48,0,0.37628865979381443
"('chrII', 612976, 613341)",-,,71.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,12,1,0.5589041095890411,44.0,0,0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.0,85,1,0.33424657534246577
"('chrII', 667456, 667699)",-,,104.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,9,0,0.5267489711934157,17.0,0,0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.0,0.0,50,1,0.3497942386831276
"('chrII', 688985, 689411)",+,,38.0,0,0,0.0,0.4285714285714285,0.0,0.0,0.0,9,0,0.3849765258215962,26.0,0,-1,0.14285714285714285,1.0,0.7142857142857143,0.0,0.0,113,1,0.3051643192488263
"('chrIV', 236560, 236789)",-,,18.0,0,0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,39,0,0.4672489082969432,18.0,-1,0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,62,0,0.31877729257641924
"('chrIV', 389191, 389678)",-,,58.0,0,0,0.0,0.4285714285714285,0.4285714285714285,0.0,0.0,18,0,0.3531827515400411,23.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,132,1,0.28542094455852157
"('chrIV', 595434, 595644)",+,,37.0,0,0,0.4285714285714285,0.4285714285714285,0.0,0.0,0.0,6,0,0.6285714285714286,17.0,0,0,1.0,0.42857142857142855,0.8571428571428571,0.0,0.0,34,0,0.3904761904761905
"('chrIV', 691591, 691953)",-,,53.0,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,14,0,0.4668508287292817,28.0,0,0,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.0,107,1,0.4281767955801105
"('chrIV', 726806, 727042)",-,,111.0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,0.597457627118644,14.0,0,-1,0.0,0.0,0.5714285714285714,0.0,0.0,56,0,0.5
"('chrIV', 798974, 799312)",-,,209.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,6,0,0.6952662721893491,48.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,63,1,0.42011834319526625
"('chrIV', 938755, 939046)",-,,62.0,0,0,0.2857142857142857,0.4285714285714285,0.0,0.0,0.0,7,0,0.5910652920962199,16.0,0,0,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.0,0.0,79,0,0.29553264604810997
"('chrIV', 997309, 997662)",-,,147.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,9,0,0.5325779036827195,26.0,0,-1,0.8571428571428571,0.2857142857142857,0.7142857142857143,-6.2,0.0,76,0,0.26912181303116145
"('chrIV', 999961, 1000303)",-,,47.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,5,1,0.4444444444444444,35.0,0,0,0.5714285714285714,0.0,0.8571428571428571,0.0,0.0,57,1,0.37719298245614036
"('chrIV', 1062023, 1062392)",-,,23.0,0,0,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.0,0.0,7,0,0.4336043360433604,47.0,0,0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,100,0,0.36585365853658536
"('chrIV', 1138962, 1139174)",+,,72.0,0,0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,10,0,0.4716981132075472,18.0,0,0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0,0.0,46,0,0.3867924528301887
"('chrIV', 1163751, 1164171)",-,,2.0,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,5,0,0.3166666666666666,31.0,0,0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.0,0.0,112,0,0.31666666666666665
"('chrIV', 1162926, 1163406)",-,,26.0,0,0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.0,6,0,0.4895833333333333,46.0,0,0,0.14285714285714285,0.2857142857142857,0.0,0.0,-4.9,84,2,0.3104166666666667
"('chrIV', 1192666, 1192826)",-,,63.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.5875,30.0,0,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,30,0,0.425
"('chrIV', 1270409, 1270875)",+,,53.0,0,0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0,0,0.5879828326180258,25.0,0,-1,0.0,0.8571428571428571,1.0,0.0,0.0,72,0,0.3798283261802575
"('chrIV', 1315222, 1315662)",-,,9.0,0,0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0,0.0,6,1,0.4409090909090909,9.0,0,0,0.5714285714285714,1.0,1.0,0.0,0.0,110,0,0.24772727272727274
"('chrIV', 1374606, 1375100)",+,,40.0,0,0,0.0,0.0,0.0,0.0,0.0,23,0,0.4777327935222672,40.0,0,0,0.0,0.0,0.0,-4.5,0.0,122,0,0.2894736842105263
"('chrIV', 1375706, 1376039)",+,,19.0,0,0,0.0,0.1428571428571428,0.5714285714285714,0.0,0.0,12,0,0.5285285285285285,15.0,0,0,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.0,0.0,89,1,0.33633633633633636
"('chrIX', 172777, 173119)",+,,55.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,0,0,0.5818713450292398,14.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,78,0,0.30116959064327486
"('chrIX', 219923, 220354)",-,,71.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,11,0,0.4733178654292343,47.0,0,0,0.0,0.8571428571428571,0.7142857142857143,0.0,0.0,74,1,0.3039443155452436
"('chrVI', 237456, 237804)",-,,117.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,0,0,0.5919540229885057,47.0,0,0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.0,0.0,62,1,0.3850574712643678
"('chrXI', 32289, 32756)",-,,61.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,9,0,0.5952890792291221,28.0,0,-1,0.14285714285714285,0.7142857142857143,1.0,0.0,-3.2,129,0,0.26552462526766596
"('chrXI', 42770, 43101)",-,,94.0,0,0,1.0,0.0,0.8571428571428571,0.0,0.0,15,0,0.4229607250755287,22.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,55,0,0.37462235649546827
"('chrXI', 42355, 42613)",-,,33.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,8,0,0.5310077519379846,14.0,0,0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,42,0,0.4418604651162791
"('chrXI', 252942, 253438)",+,,164.0,0,0,0.0,0.0,0.0,0.0,0.0,12,0,0.7399193548387096,68.0,0,0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,117,0,0.46774193548387094
"('chrXI', 254083, 254254)",-,,95.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.7426900584795322,4.0,-1,0,0.8571428571428571,0.14285714285714285,1.0,0.0,0.0,46,0,0.42105263157894735
"('chrXI', 383623, 383769)",-,,58.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,0,1,0.589041095890411,29.0,0,0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.0,29,0,0.5342465753424658
"('chrXI', 452416, 452813)",+,,239.0,0,0,0.0,0.7142857142857143,0.4285714285714285,0.0,0.0,0,0,0.6649874055415617,56.0,0,0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,63,1,0.3198992443324937
"('chrXI', 475144, 475261)",-,,44.0,0,0,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.0,0.0,0,0,0.5811965811965812,20.0,0,-1,0.5714285714285714,0.5714285714285714,0.14285714285714285,-4.6,0.0,16,0,0.4188034188034188
"('chrXI', 594418, 594937)",+,,199.0,0,0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,14,0,0.489402697495183,12.0,0,0,0.8571428571428571,0.0,0.5714285714285714,0.0,0.0,156,1,0.22736030828516376
"('chrXI', 617058, 617499)",+,,129.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.655328798185941,18.0,0,0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,0.0,122,0,0.26303854875283444
"('chrXV', 360321, 360601)",-,,95.0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,0.5428571428571428,25.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,46,1,0.3964285714285714
"('chrXV', 508538, 508958)",-,,22.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,6,0,0.4714285714285714,21.0,0,0,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.0,0.0,113,3,0.37857142857142856
"('chrXV', 539579, 539906)",-,,21.0,0,0,0.0,0.0,1.0,0.0,0.0,20,0,0.4709480122324159,28.0,0,0,0.0,0.0,0.7142857142857143,0.0,-3.8,85,0,0.3058103975535168
"('chrXV', 661022, 661270)",-,,161.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.8266129032258065,47.0,0,0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,52,1,0.4032258064516129
"('chrXV', 676377, 676553)",+,,28.0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0.625,14.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,36,1,0.5738636363636364
"('chrXV', 730657, 730835)",-,,77.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,6,0,0.6853932584269663,14.0,0,-1,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.0,-7.8,37,0,0.3539325842696629
"('chrXV', 780320, 780480)",+,,6.0,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0,0,0.48125,16.0,0,0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.0,0.0,49,1,0.5
"('chrXV', 858542, 858921)",-,,38.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.575197889182058,8.0,-1,-1,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.0,0.0,97,0,0.3007915567282322
"('chrXV', 918943, 919228)",-,,35.0,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,7,0,0.3964912280701754,15.0,0,0,1.0,0.0,0.2857142857142857,0.0,0.0,75,3,0.32280701754385965
"('chrXV', 929777, 930011)",+,,60.0,0,0,0.0,0.1428571428571428,0.0,0.0,0.0,18,0,0.4658119658119658,10.0,-1,0,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.0,-4.5,58,1,0.39316239316239315
"('chrXV', 950267, 950529)",+,,52.0,0,0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,13,0,0.5610687022900763,34.0,0,0,1.0,0.14285714285714285,0.7142857142857143,0.0,0.0,75,1,0.29770992366412213
"('chrXV', 1008477, 1008814)",+,,51.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,17,0,0.5459940652818991,70.0,0,0,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.0,0.0,78,3,0.3857566765578635
"('chrXV', 1032190, 1032312)",-,,26.0,0,0,0.4285714285714285,1.0,0.0,0.0,0.0,10,0,0.6721311475409836,26.0,0,0,0.42857142857142855,1.0,0.0,0.0,0.0,13,0,0.4918032786885246
"('chrIII', 17674, 18063)",+,,33.0,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,0,0,0.6401028277634961,48.0,0,0,0.5714285714285714,0.0,0.8571428571428571,0.0,0.0,115,4,0.40102827763496146
"('chrIII', 67352, 67707)",-,,31.0,0,0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,6,0,0.4394366197183099,24.0,0,0,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.0,0.0,106,0,0.2619718309859155
"('chrIII', 65923, 66403)",-,,112.0,0,0,0.0,0.5714285714285714,0.1428571428571428,0.0,0.0,19,0,0.45,19.0,-1,0,0.0,0.5714285714285714,0.7142857142857143,0.0,0.0,141,1,0.26458333333333334
"('chrIII', 128676, 129042)",+,,48.0,0,0,0.2857142857142857,0.8571428571428571,0.0,0.0,0.0,27,0,0.587431693989071,42.0,0,0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,54,0,0.38524590163934425
"('chrVII', 524369, 524639)",+,,49.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,14,0,0.437037037037037,47.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,46,0,0.3888888888888889
"('chrVII', 117898, 118303)",-,,20.0,0,0,0.1428571428571428,0.7142857142857143,0.7142857142857143,0.0,0.0,7,0,0.6098765432098765,42.0,0,0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.0,0.0,68,0,0.3358024691358025
"('chrVII', 128474, 128715)",+,,153.0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0.7551867219917012,44.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,32,0,0.4024896265560166
"('chrVII', 176137, 176617)",-,,39.0,0,0,0.2857142857142857,0.0,0.0,0.0,-9.3,10,0,0.5833333333333334,48.0,0,0,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.0,-9.3,123,1,0.3458333333333333
"('chrVII', 194466, 194905)",-,,61.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,7,0,0.4373576309794988,56.0,0,0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.0,136,0,0.35079726651480636
"('chrVII', 251854, 251946)",+,,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.7282608695652174,27.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,12,0,0.717391304347826
"('chrVII', 441541, 441826)",-,,42.0,0,0,0.0,0.8571428571428571,0.0,0.0,-15.2,10,0,0.519298245614035,12.0,0,0,0.0,0.8571428571428571,0.7142857142857143,0.0,-15.9,64,0,0.2771929824561403
"('chrVII', 533605, 533723)",+,,56.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.6016949152542372,37.0,0,0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,31,0,0.4152542372881356
"('chrVII', 716661, 717138)",+,,45.0,0,0,0.0,1.0,0.0,0.0,0.0,11,0,0.5744234800838575,38.0,0,0,0.5714285714285714,1.0,0.0,0.0,0.0,117,3,0.3417190775681342
"('chrVII', 753206, 753398)",-,,44.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.578125,40.0,0,0,0.0,0.0,0.0,-19.1,0.0,23,0,0.453125
"('chrVII', 864457, 864759)",-,,4.0,0,0,0.7142857142857143,0.0,0.2857142857142857,0.0,-9.9,9,0,0.5761589403973509,4.0,0,0,0.7142857142857143,0.0,0.5714285714285714,0.0,-6.6,54,0,0.3675496688741722
"('chrVII', 868514, 868901)",+,,52.0,0,0,0.0,0.1428571428571428,1.0,0.0,0.0,15,0,0.4392764857881137,36.0,0,0,0.7142857142857143,0.8571428571428571,1.0,0.0,0.0,56,1,0.330749354005168
"('chrVII', 898350, 898476)",+,,49.0,0,0,0.0,0.0,0.0,-9.0,0.0,6,0,0.626984126984127,42.0,0,-1,0.0,0.7142857142857143,0.0,0.0,-8.8,15,0,0.6825396825396826
"('chrVII', 907250, 907358)",+,,36.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5277777777777778,14.0,0,-1,0.0,0.42857142857142855,1.0,0.0,0.0,25,0,0.4722222222222222
"('chrVII', 972743, 972879)",-,,21.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0.4485294117647059,14.0,-1,0,1.0,0.5714285714285714,0.5714285714285714,-5.8,0.0,29,1,0.49264705882352944
"('chrVII', 1013100, 1013313)",+,,72.0,0,0,1.0,1.0,0.7142857142857143,0.0,0.0,28,0,0.6244131455399061,25.0,0,-1,0.0,1.0,0.7142857142857143,0.0,0.0,22,0,0.29577464788732394
"('chrXII', 57066, 57203)",-,,69.0,0,0,0.0,0.0,0.1428571428571428,-10.5,0.0,10,0,0.6642335766423357,20.0,0,0,0.14285714285714285,0.42857142857142855,0.8571428571428571,-10.5,0.0,39,0,0.3722627737226277
"('chrXII', 67801, 67967)",-,,64.0,0,0,0.0,0.0,0.1428571428571428,-8.7,-6.3,8,0,0.5662650602409639,34.0,0,0,0.0,0.2857142857142857,0.0,-8.7,-5.4,45,0,0.3493975903614458
