ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,ThreeprimeDistStopFeature,RPKMFeature,LengthFeature
"('chrV', 293794, 294070)",+,,23.0,0,0,0.4285714285714285,0.5714285714285714,0.0,0.0,0.0,0,0,0.3188405797101449,21.0,0,0,0.7142857142857143,0.5714285714285714,0.0,-15.8,0.0,57,1,0.4384057971014493,0,-1,-15.0,0.0,6,,,276
"('chrV', 298951, 299478)",+,,51.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,11,0,0.32827324478178366,54.0,0,0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,64,0,0.3168880455407969,0,0,0.0,0.0,10,,,527
"('chrV', 329145, 329606)",+,,19.0,0,0,0.4285714285714285,0.4285714285714285,0.7142857142857143,0.0,0.0,30,1,0.19522776572668113,19.0,0,0,0.4285714285714285,0.4285714285714285,0.7142857142857143,0.0,0.0,140,1,0.351409978308026,0,0,0.0,0.0,14,,,461
"('chrV', 343365, 343574)",-,,43.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,0,0,0.45933014354066987,43.0,0,0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,32,0,0.4880382775119617,0,0,0.0,0.0,8,,,209
"('chrV', 384387, 384531)",-,,110.0,0,-1,0.0,0.5714285714285714,0.0,0.0,-10.2,8,0,0.9027777777777778,8.0,0,-1,0.5714285714285714,1.0,0.0,-5.6,0.0,23,0,0.6458333333333334,0,-1,0.0,-10.2,8,,,144
"('chrV', 480860, 480989)",-,,76.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,0,0,0.8527131782945736,10.0,0,-1,0.4285714285714285,0.7142857142857143,0.5714285714285714,0.0,0.0,12,1,0.4263565891472868,0,0,0.0,0.0,4,,,129
"('chrV', 507000, 507492)",+,,42.0,0,0,0.0,0.0,0.0,0.0,0.0,14,0,0.2621951219512195,37.0,0,0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.0,0.0,107,2,0.3373983739837398,0,0,0.0,0.0,15,,,492
"('chrX', 167893, 168339)",-,,44.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,0,0,0.33408071748878926,50.0,0,0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.0,0.0,116,0,0.3340807174887892,0,0,0.0,0.0,6,,,446
"('chrX', 179586, 180060)",-,,65.0,0,0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0,14,0,0.2489451476793249,22.0,0,0,0.5714285714285714,0.4285714285714285,0.8571428571428571,0.0,0.0,103,0,0.2953586497890295,0,0,0.0,0.0,16,,,474
"('chrX', 215889, 216239)",-,,43.0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,0.26,9.0,0,-1,0.7142857142857143,0.1428571428571428,0.2857142857142857,0.0,-6.4,86,0,0.2571428571428571,0,0,0.0,0.0,15,,,350
"('chrX', 215304, 215423)",-,,47.0,0,0,0.0,0.0,0.0,-9.8,0.0,11,0,0.5966386554621849,14.0,0,0,0.7142857142857143,0.0,0.0,-9.8,0.0,27,0,0.5714285714285714,0,0,-9.8,0.0,11,,,119
"('chrX', 382824, 383005)",+,,79.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.6353591160220995,25.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,38,0,0.4143646408839779,0,0,0.0,0.0,5,,,181
"('chrX', 403921, 404445)",+,,86.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.3377862595419847,12.0,-1,0,0.0,0.0,0.1428571428571428,0.0,0.0,137,1,0.3358778625954198,0,0,0.0,0.0,11,,,524
"('chrX', 406360, 406720)",+,,89.0,0,0,0.0,0.0,0.0,0.0,0.0,10,0,0.32222222222222224,15.0,0,0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.0,0.0,95,0,0.3666666666666666,0,0,0.0,0.0,20,,,360
"('chrX', 465741, 465880)",-,,72.0,0,0,0.0,0.7142857142857143,0.4285714285714285,0.0,0.0,5,0,0.5323741007194245,29.0,0,0,0.8571428571428571,0.7142857142857143,0.4285714285714285,0.0,-7.3,31,0,0.5323741007194245,0,0,0.0,-9.6,10,,,139
"('chrX', 484301, 484538)",-,,97.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0.6877637130801688,46.0,0,0,0.5714285714285714,0.4285714285714285,1.0,0.0,0.0,69,1,0.4135021097046413,0,0,0.0,0.0,14,,,237
"('chrX', 508817, 509330)",+,,69.0,0,0,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.0,0.0,22,2,0.24171539961013644,36.0,0,0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.0,0.0,173,5,0.3001949317738791,0,0,0.0,0.0,21,,,513
"('chrII', 519055, 519137)",-,,16.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0.5,17.0,0,0,0.5714285714285714,0.0,0.4285714285714285,0.0,0.0,12,0,0.5,0,0,0.0,0.0,5,,,82
"('chrII', 113858, 114186)",+,,42.0,0,0,0.1428571428571428,0.7142857142857143,0.8571428571428571,0.0,0.0,14,0,0.3231707317073171,23.0,0,0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.0,0.0,81,3,0.4146341463414634,0,-1,0.0,0.0,12,,,328
"('chrII', 163105, 163372)",-,,32.0,0,0,0.0,0.1428571428571428,1.0,0.0,0.0,9,0,0.2696629213483146,32.0,0,0,0.0,0.7142857142857143,1.0,0.0,0.0,81,0,0.3932584269662921,0,0,0.0,0.0,15,,,267
"('chrII', 187220, 187413)",-,,63.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,0,0,0.7046632124352331,30.0,0,0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0,37,0,0.4818652849740932,0,0,0.0,0.0,10,,,193
"('chrII', 219401, 219766)",+,,87.0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.473972602739726,30.0,0,0,0.2857142857142857,0.8571428571428571,0.2857142857142857,-13.4,-6.8,79,1,0.4,0,0,0.0,0.0,7,,,365
"('chrII', 384031, 384123)",+,,55.0,0,0,0.0,0.4285714285714285,0.0,0.0,0.0,0,0,0.7717391304347826,6.0,-1,-1,1.0,0.4285714285714285,0.7142857142857143,0.0,0.0,18,0,0.4891304347826087,0,-1,0.0,0.0,4,,,92
"('chrII', 469255, 469602)",+,,79.0,0,0,0.1428571428571428,0.0,0.5714285714285714,0.0,0.0,11,0,0.4092219020172911,14.0,0,0,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.0,0.0,101,1,0.3371757925072046,0,0,0.0,0.0,21,,,347
"('chrII', 603121, 603315)",+,,38.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,11,0,0.34536082474226804,34.0,0,0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,35,2,0.2731958762886597,0,0,0.0,0.0,12,,,194
"('chrII', 613176, 613541)",-,,24.0,0,0,1.0,0.5714285714285714,0.0,0.0,0.0,7,0,0.29863013698630136,31.0,0,0,1.0,0.0,0.5714285714285714,0.0,0.0,95,2,0.2876712328767123,0,0,0.0,0.0,11,,,365
"('chrII', 667656, 667899)",-,,20.0,0,0,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,11,0,0.2839506172839506,20.0,0,0,0.7142857142857143,0.5714285714285714,0.4285714285714285,0.0,0.0,67,0,0.3251028806584362,0,0,0.0,0.0,11,,,243
"('chrII', 688785, 689211)",+,,12.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,9,0,0.22769953051643194,9.0,0,0,0.8571428571428571,0.8571428571428571,0.0,-11.9,0.0,115,1,0.3192488262910798,0,0,0.0,0.0,10,,,426
"('chrIV', 236760, 236989)",-,,30.0,0,0,0.4285714285714285,0.1428571428571428,0.2857142857142857,0.0,0.0,0,0,0.27510917030567683,46.0,0,0,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.0,-8.1,29,1,0.3755458515283842,0,0,0.0,-8.1,13,,,229
"('chrIV', 389391, 389878)",-,,100.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,17,0,0.30184804928131415,26.0,0,0,0.4285714285714285,0.0,0.7142857142857143,0.0,0.0,134,0,0.3264887063655031,0,0,0.0,0.0,18,,,487
"('chrIV', 595234, 595444)",+,,110.0,0,-1,0.0,0.4285714285714285,0.2857142857142857,0.0,-11.8,7,0,0.5523809523809524,14.0,0,-1,0.8571428571428571,0.4285714285714285,0.7142857142857143,0.0,-11.8,49,0,0.4476190476190476,0,-1,0.0,-11.8,11,,,210
"('chrIV', 727006, 727242)",-,,29.0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.4067796610169492,36.0,0,-1,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,-3.8,38,1,0.4322033898305085,0,0,0.0,0.0,10,,,236
"('chrIV', 748711, 748832)",-,,61.0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0.6611570247933884,52.0,0,0,0.0,0.7142857142857143,0.0,-10.8,0.0,8,0,0.5371900826446281,0,0,-10.8,0.0,7,,,121
"('chrIV', 799174, 799512)",-,,24.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,6,0,0.26627218934911245,26.0,0,0,0.2857142857142857,0.7142857142857143,0.4285714285714285,0.0,0.0,76,1,0.2869822485207101,0,0,0.0,0.0,12,,,338
"('chrIV', 938955, 939246)",-,,24.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,9,0,0.31958762886597936,44.0,0,0,0.0,0.7142857142857143,0.8571428571428571,0.0,0.0,77,1,0.3333333333333333,0,0,0.0,0.0,9,,,291
"('chrIV', 997509, 997862)",-,,28.0,0,0,0.0,0.0,0.0,0.0,0.0,6,1,0.36827195467422097,3.0,-1,-1,1.0,0.0,0.2857142857142857,-18.8,0.0,105,2,0.4022662889518413,0,0,0.0,0.0,11,,,353
"('chrIV', 1000161, 1000503)",-,,107.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,21,1,0.4152046783625731,50.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,40,1,0.4093567251461988,0,0,0.0,0.0,17,,,342
"('chrIV', 1062223, 1062592)",-,,58.0,0,0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0,14,0,0.3116531165311653,18.0,0,0,0.8571428571428571,0.2857142857142857,0.8571428571428571,-16.0,0.0,92,1,0.3089430894308943,0,0,0.0,0.0,14,,,369
"('chrIV', 1138762, 1138974)",+,,30.0,0,0,0.1428571428571428,0.7142857142857143,0.0,0.0,0.0,8,0,0.35377358490566035,30.0,0,0,0.1428571428571428,0.7142857142857143,0.0,0.0,0.0,55,1,0.3254716981132075,0,0,0.0,0.0,8,,,212
"('chrIV', 1163951, 1164371)",-,,54.0,0,0,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,18,0,0.2904761904761905,26.0,0,0,0.0,0.5714285714285714,1.0,-18.7,0.0,136,1,0.3333333333333333,0,-1,0.0,0.0,19,,,420
"('chrIV', 1163126, 1163606)",-,,26.0,0,0,0.4285714285714285,1.0,0.4285714285714285,0.0,0.0,9,2,0.20625,26.0,0,0,0.4285714285714285,1.0,0.0,-9.0,0.0,114,0,0.3020833333333333,0,0,0.0,0.0,12,,,480
"('chrIV', 1192866, 1193026)",-,,101.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.71875,19.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,21,1,0.39375,0,0,0.0,0.0,8,,,160
"('chrIV', 1270209, 1270675)",+,,54.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,5,0,0.37124463519313305,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,135,3,0.3433476394849785,0,0,0.0,0.0,10,,,466
"('chrIV', 1374406, 1374900)",+,,88.0,0,0,0.0,0.0,0.0,0.0,0.0,7,1,0.32388663967611336,17.0,0,0,0.0,0.0,1.0,0.0,0.0,110,1,0.3076923076923077,0,0,0.0,0.0,21,,,494
"('chrIV', 1375506, 1375839)",+,,121.0,0,0,0.0,0.4285714285714285,0.0,0.0,0.0,10,0,0.4264264264264264,35.0,0,0,0.0,0.5714285714285714,0.4285714285714285,0.0,0.0,82,1,0.3123123123123123,0,0,0.0,0.0,12,,,333
"('chrIX', 172577, 172919)",+,,71.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,0,0,0.3742690058479532,13.0,0,0,1.0,0.4285714285714285,0.0,0.0,0.0,91,0,0.3157894736842105,0,0,0.0,0.0,7,,,342
"('chrIX', 220123, 220554)",-,,52.0,0,0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,26,1,0.19953596287703015,27.0,0,0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,0.0,68,2,0.2529002320185615,0,0,0.0,0.0,21,,,431
"('chrXI', 32489, 32956)",-,,21.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,9,0,0.2676659528907923,39.0,0,0,0.8571428571428571,0.0,0.1428571428571428,0.0,0.0,127,1,0.2698072805139186,0,0,0.0,0.0,9,,,467
"('chrXI', 42970, 43301)",-,,31.0,0,0,0.0,0.0,0.0,0.0,0.0,23,0,0.3021148036253776,16.0,0,-1,0.7142857142857143,0.7142857142857143,0.0,0.0,-3.4,64,1,0.311178247734139,0,0,0.0,0.0,31,,,331
"('chrXI', 42555, 42813)",-,,46.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,16,0,0.35271317829457366,15.0,0,0,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.0,0.0,72,0,0.3914728682170542,0,0,0.0,0.0,16,,,258
"('chrXI', 252742, 253238)",+,,18.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,12,0,0.3125,40.0,0,0,0.4285714285714285,0.2857142857142857,0.8571428571428571,0.0,0.0,72,0,0.282258064516129,0,0,0.0,0.0,14,,,496
"('chrXI', 254283, 254454)",-,,62.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5672514619883041,15.0,-1,-1,0.4285714285714285,0.5714285714285714,0.0,0.0,0.0,46,1,0.4385964912280701,0,0,0.0,0.0,5,,,171
"('chrXI', 383823, 383969)",-,,29.0,0,0,0.0,0.0,0.0,0.0,-11.5,7,0,0.4794520547945205,1.0,-1,-1,0.7142857142857143,0.4285714285714285,0.5714285714285714,-10.6,-12.3,32,0,0.5273972602739726,0,0,-11.3,-11.5,10,,,146
"('chrXI', 452216, 452613)",+,,19.0,0,0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0,0,0.37531486146095716,28.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,77,1,0.36272040302267,0,0,0.0,0.0,13,,,397
"('chrXI', 475344, 475461)",-,,78.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9145299145299145,13.0,0,0,1.0,0.0,0.0,0.0,0.0,13,0,0.358974358974359,0,0,0.0,0.0,3,,,117
"('chrXI', 594218, 594737)",+,,133.0,0,0,0.0,0.0,0.0,0.0,0.0,14,0,0.4161849710982659,28.0,0,0,0.5714285714285714,0.8571428571428571,0.4285714285714285,0.0,0.0,116,1,0.3121387283236994,0,0,0.0,0.0,21,,,519
"('chrXI', 616858, 617299)",+,,33.0,0,0,0.0,0.7142857142857143,0.0,0.0,0.0,5,0,0.35600907029478457,31.0,0,0,0.0,0.1428571428571428,0.8571428571428571,0.0,0.0,116,0,0.2607709750566893,0,0,0.0,0.0,11,,,441
"('chrXV', 360521, 360801)",-,,48.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.4,32.0,0,0,0.0,0.5714285714285714,0.7142857142857143,0.0,0.0,66,0,0.3678571428571429,0,0,0.0,0.0,8,,,280
"('chrXV', 508738, 509158)",-,,45.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,24,1,0.30238095238095236,23.0,0,0,0.0,0.1428571428571428,0.0,0.0,0.0,85,1,0.4119047619047619,0,0,0.0,0.0,12,,,420
"('chrXV', 661222, 661470)",-,,28.0,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,14,0,0.3911290322580645,41.0,0,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,70,0,0.3870967741935484,0,-1,0.0,-9.4,14,,,248
"('chrXV', 676177, 676353)",+,,99.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,0,0,0.7443181818181818,18.0,0,-1,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.0,0.0,12,0,0.3125,0,0,0.0,0.0,6,,,176
"('chrXV', 730857, 731035)",-,,22.0,0,0,0.4285714285714285,0.0,0.1428571428571428,0.0,0.0,11,0,0.34269662921348315,14.0,0,0,1.0,0.5714285714285714,0.1428571428571428,0.0,0.0,51,2,0.4325842696629213,0,0,0.0,0.0,14,,,178
"('chrXV', 780120, 780280)",+,,90.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,19,0,0.575,39.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,19,0,0.39375,0,0,0.0,0.0,19,,,160
"('chrXV', 858742, 859121)",-,,10.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,0,0,0.31398416886543534,7.0,0,0,1.0,0.0,0.8571428571428571,0.0,0.0,89,1,0.4406332453825857,-1,0,0.0,0.0,15,,,379
"('chrXV', 919143, 919428)",-,,47.0,0,-1,0.0,0.7142857142857143,0.0,0.0,-4.9,6,0,0.3192982456140351,17.0,0,-1,0.5714285714285714,0.7142857142857143,0.0,0.0,-4.9,30,0,0.4140350877192982,0,-1,0.0,-4.9,11,,,285
"('chrXV', 929577, 929811)",+,,46.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,15,0,0.3076923076923077,8.0,0,-1,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.0,-4.9,45,0,0.3888888888888889,0,0,0.0,0.0,15,,,234
"('chrXV', 1008277, 1008614)",+,,62.0,0,0,0.4285714285714285,0.0,0.1428571428571428,0.0,0.0,9,0,0.29673590504451036,44.0,0,0,0.4285714285714285,0.0,0.1428571428571428,0.0,0.0,90,1,0.2789317507418398,0,0,0.0,0.0,17,,,337
"('chrXV', 1032390, 1032512)",-,,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.7704918032786885,21.0,0,-1,0.5714285714285714,1.0,0.2857142857142857,0.0,-3.6,19,0,0.5737704918032787,0,0,0.0,0.0,5,,,122
"('chrIII', 17474, 17863)",+,,26.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,0,0,0.35475578406169667,53.0,0,0,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.0,0.0,112,2,0.3881748071979434,0,0,0.0,0.0,11,,,389
"('chrIII', 67552, 67907)",-,,63.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,9,1,0.29295774647887324,30.0,0,0,0.0,0.4285714285714285,0.2857142857142857,0.0,0.0,116,2,0.2929577464788732,0,0,0.0,0.0,17,,,355
"('chrIII', 66123, 66603)",-,,89.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,25,0,0.3020833333333333,24.0,0,0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.0,0.0,136,0,0.2645833333333333,0,0,0.0,0.0,20,,,480
"('chrIII', 128476, 128842)",+,,71.0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,0.4371584699453552,9.0,-1,0,0.7142857142857143,0.4285714285714285,0.2857142857142857,0.0,0.0,87,1,0.3032786885245901,0,0,0.0,0.0,13,,,366
"('chrVII', 524169, 524439)",+,,117.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0.5259259259259259,52.0,0,0,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.0,0.0,40,1,0.4777777777777778,0,0,0.0,-8.5,9,,,270
"('chrVII', 118098, 118503)",-,,80.0,0,0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.0,0.0,0,1,0.2740740740740741,24.0,0,0,0.5714285714285714,0.8571428571428571,0.4285714285714285,0.0,0.0,94,1,0.3160493827160494,0,0,0.0,0.0,11,,,405
"('chrVII', 128274, 128515)",+,,164.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,0,0,0.6887966804979253,17.0,0,0,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,0.0,50,0,0.4232365145228215,0,0,0.0,0.0,10,,,241
"('chrVII', 176337, 176817)",-,,9.0,0,0,0.4285714285714285,0.0,0.0,0.0,-14.1,10,0,0.24375,50.0,0,0,0.0,0.0,0.4285714285714285,0.0,-14.1,127,1,0.3104166666666667,0,0,0.0,-14.1,13,,,480
"('chrVII', 194666, 195105)",-,,70.0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,0.2938496583143508,75.0,0,0,0.5714285714285714,1.0,0.4285714285714285,0.0,0.0,130,2,0.3052391799544419,0,0,0.0,0.0,15,,,439
"('chrVII', 251654, 251746)",+,,44.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5434782608695652,20.0,0,0,0.8571428571428571,0.8571428571428571,0.0,-8.4,0.0,26,0,0.358695652173913,0,0,0.0,0.0,4,,,92
"('chrVII', 441741, 442026)",-,,111.0,0,0,0.0,0.5714285714285714,0.1428571428571428,0.0,0.0,0,0,0.43508771929824563,21.0,0,-1,0.8571428571428571,0.1428571428571428,0.8571428571428571,0.0,0.0,47,0,0.3017543859649123,0,0,0.0,0.0,12,,,285
"('chrVII', 533405, 533523)",+,,81.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9915254237288136,19.0,0,0,0.7142857142857143,0.4285714285714285,0.2857142857142857,0.0,0.0,21,0,0.4152542372881356,0,0,0.0,0.0,0,,,118
"('chrVII', 753406, 753598)",-,,78.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,8,0,0.5729166666666666,51.0,0,0,0.4285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.0,48,1,0.4739583333333333,0,0,0.0,0.0,8,,,192
"('chrVII', 864657, 864959)",-,,109.0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,0.5794701986754967,25.0,0,0,0.8571428571428571,0.4285714285714285,0.5714285714285714,0.0,0.0,68,1,0.3940397350993377,0,0,0.0,0.0,17,,,302
