ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemMetric_Vienna_ens,ZipperStemStartMetric_Vienna_mfe,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,ThreeprimeDistStopFeature,RPKMFeature,LocalizationMetric_RNAstructure_ens,StartToBPStemMetric_RNAstructure_ens,BPToEndStemMetric_RNAstructure_ens,StartProtectionMetric_RNAstructure_ens,EndProtectionMetric_RNAstructure_ens,BPProtectionMetric_RNAstructure_ens,LongestStemMetric_Vienna_mfe,NWJMetric_Vienna_mfe,MLDMetric_Vienna_mfe,LocalizationMetric_Vienna_mfe,StartToBPStemMetric_Vienna_mfe,BPToEndStemMetric_Vienna_mfe,StartProtectionMetric_Vienna_mfe,EndProtectionMetric_Vienna_mfe,BPProtectionMetric_Vienna_mfe,ZipperStemEndMetric_Vienna_mfe,LongestStemMetric_Vienna_ens,NWJMetric_Vienna_ens,MLDMetric_Vienna_ens,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,LengthFeature,ZipperStemStartMetric_RNAstructure_ens,ZipperStemEndMetric_RNAstructure_ens,LongestStemMetric_RNAstructure_ens,MLDMetric_RNAstructure_ens
"('chrII', 393180, 393510)",+,NM_001178426.2,16.047,0.7830718880879323,11.512925464970229,0.7250000000000003,0.0594285714285714,0.2298571428571405,0,-15.7,-16.42526315789473,0.0,0.0,1319.446731,19.242,1.2207799226423173,11.512925464970229,0.6811428571428558,0.1151428571428571,0.1625714285714282,94,1,0.4818181818181818,24.0,0,0,0.8571428571428571,0.0,0.0,0.0,29.952,1.053,0.3224242424242424,24.0,0,0,0.8571428571428571,0.0,0.0,-19.6,0.0,91,1,0.4818181818181818,330,-17.356000000000005,0.0,28.172,0.2951515151515151
"('chrX', 435227, 435343)",+,NM_001181435.1,21.218,2.2164073967529934,2.1803674602697964,0.2511428571428558,0.0434285714285714,0.2925714285714263,0,-8.5,-8.5,-5.4,0.0,258.7495334,22.411,3.611918412977808,3.324236340526028,0.2411428571428554,0.1815714285714274,0.2839999999999971,28,0,0.4827586206896552,24.0,0,0,0.2857142857142857,0.0,0.2857142857142857,0.0,10.17,0.136,0.3077586206896552,24.0,0,0,0.2857142857142857,0.4285714285714285,0.2857142857142857,-8.5,0.0,28,0,0.4568965517241379,116,-8.5,-5.400000000000001,10.004,0.306896551724138
"('chrXVI', 623577, 623710)",+,NM_001184125.1,23.125,3.816712825623821,6.907755278982137,0.8374285714285757,0.0045714285714285,0.3042857142857145,0,-9.2,-9.294936708860767,0.0,0.0,625.5736569,23.542,2.718100536955712,6.214608098422191,0.8247142857142897,0.0062857142857142,0.3374285714285709,34,0,0.4812030075187969,29.0,0,0,0.8571428571428571,0.0,0.0,0.0,16.593,0.25,0.3060150375939849,28.0,0,0,0.8571428571428571,0.0,0.2857142857142857,-9.2,0.0,36,0,0.4812030075187969,133,-9.312765957446823,0.0,15.429,0.3075187969924812
"('chrIII', 107191, 107287)",+,NM_001184518.1,16.385,11.512925464970229,0.7985076962177716,0.7148571428571401,0.6872857142857064,0.7464285714285692,0,-0.5,-0.5,0.0,275.0,111.1332649,15.855,11.512925464970229,0.4942963218147801,0.6428571428571387,0.6875714285714202,0.6891428571428538,24,0,0.4479166666666667,14.0,0,-1,0.5714285714285714,0.7142857142857143,1.0,0.0,8.622,0.03,0.2583333333333333,14.0,0,-1,0.5714285714285714,0.7142857142857143,0.5714285714285714,-0.5,0.0,21,0,0.6458333333333334,96,-0.5,0.0,8.245,0.28645833333333337
"('chrIII', 107033, 107110)",+,NM_001184518.1,19.653,11.512925464970229,11.512925464970229,0.6008571428571398,0.0047142857142857,0.0082857142857142,0,0.0,0.0,0.0,183.0,111.1332649,23.371,11.512925464970229,11.512925464970229,0.4511428571428584,0.0121428571428571,0.0087142857142857,7,0,0.8831168831168831,14.0,0,0,0.8571428571428571,0.0,0.0,0.0,5.705,0.002,0.4389610389610389,14.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,6,0,0.8831168831168831,77,0.0,0.0,4.418,0.42597402597402595
"('chrXVI', 883387, 883486)",+,NM_001184525.1,51.811,11.512925464970229,0.1142891464021276,0.1981428571428567,0.4828571428571416,0.6009999999999971,0,0.0,0.0,0.0,0.0,80.80837909,49.244,11.512925464970229,0.1566538100453768,0.2078571428571422,0.4762857142857124,0.59185714285714,8,0,0.8787878787878788,69.0,0,-1,0.0,0.5714285714285714,0.7142857142857143,0.0,7.282,0.0,0.304040404040404,69.0,0,-1,0.0,0.5714285714285714,0.7142857142857143,0.0,0.0,8,0,0.8787878787878788,99,0.0,0.0,6.947,0.29393939393939394
"('chrXIII', 424997, 425153)",+,NM_001182578.1,7.798,0.4716049106127093,0.1996711951290677,0.765714285714286,0.042,0.6689999999999973,0,0.0,-4.342857142857143,-4.75,0.0,211.6068841,9.421,0.7339691750802004,0.173163619009189,0.6722857142857124,0.0884285714285714,0.5631428571428571,35,1,0.4935897435897436,5.0,-1,-1,0.8571428571428571,0.0,0.7142857142857143,-4.6,16.109,0.705,0.2891025641025641,8.0,-1,-1,0.5714285714285714,0.0,0.5714285714285714,0.0,-4.6,36,1,0.4679487179487179,156,-3.644444444444444,-4.5361445783132535,12.495,0.25769230769230766
"('chrVIII', 187514, 187676)",-,NM_001180027.1,35.228,11.512925464970229,6.907755278982137,0.4517142857142861,0.0181428571428571,0.4579999999999978,0,0.0,0.0,-12.36868686868689,0.0,248.0462152,27.073,11.512925464970229,11.512925464970229,0.2798571428571422,0.0302857142857142,0.6387142857142825,42,1,0.4259259259259259,54.0,0,0,0.0,0.0,0.2857142857142857,-12.7,17.478,0.681,0.3092592592592592,27.0,0,0,0.0,0.0,0.7142857142857143,0.0,-12.7,40,1,0.5432098765432098,162,0.0,-12.570707070707094,15.321,0.29567901234567906
"('chrXIV', 545291, 545370)",+,NM_001182883.1,6.701,0.9288695140810151,11.512925464970229,0.7880000000000016,0.498428571428574,0.2342857142857129,0,0.0,0.0,0.0,0.0,228.5135,11.521,1.241328590869705,11.512925464970229,0.6027142857142851,0.5689999999999995,0.2015714285714276,14,0,0.6329113924050633,3.0,0,0,1.0,0.7142857142857143,0.2857142857142857,0.0,12.14,0.004,0.2468354430379747,3.0,0,0,1.0,0.7142857142857143,0.2857142857142857,0.0,0.0,14,0,0.6329113924050633,79,0.0,0.0,10.884,0.25063291139240507
"('chrV', 307746, 307848)",+,NM_001184512.1,38.838,11.512925464970229,4.422848629194137,0.5334285714285683,0.7532857142857128,0.1291428571428563,0,0.0,0.0,-2.1,153.0,92.23179251,38.055,11.512925464970229,4.199705077879927,0.5331428571428535,0.7727142857142861,0.1222857142857134,22,0,0.5392156862745098,43.0,0,0,0.5714285714285714,0.8571428571428571,0.1428571428571428,0.0,10.866,0.223,0.3872549019607843,42.0,0,0,0.5714285714285714,0.8571428571428571,0.1428571428571428,0.0,0.0,26,1,0.4509803921568627,102,0.0,-2.1,10.52,0.3558823529411764
"('chrIV', 715247, 715358)",-,NM_001180437.3,7.611,0.3011050927839216,11.512925464970229,0.6392857142857119,0.1115714285714286,0.3132857142857132,0,0.0,-4.04375,0.0,0.0,220.887844,7.677,0.2957142441490452,11.512925464970229,0.6124285714285697,0.1930000000000001,0.3221428571428562,25,0,0.6666666666666666,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,11.59,0.203,0.2504504504504504,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,22,0,0.6216216216216216,111,-3.2117647058823544,0.0,9.405,0.2657657657657658
"('chrVII', 72988, 73137)",-,NM_001181091.1,31.21,11.512925464970229,3.4112477175156566,0.4197142857142885,0.1765714285714283,0.2922857142857138,0,0.0,-6.471428571428571,-5.8,0.0,184.9280172,23.163,11.512925464970229,4.3428059215206005,0.4605714285714275,0.292857142857141,0.2077142857142841,34,0,0.4295302013422818,34.0,0,0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.0,19.514,0.068,0.3315436241610738,17.0,0,0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,25,0,0.3959731543624161,149,-7.508333333333333,0.0,12.737,0.3261744966442953
"('chrVIII', 498719, 498786)",-,NM_001184671.1,39.742,11.512925464970229,11.512925464970229,0.345714285714286,0.0038571428571428,0.014,0,0.0,0.0,0.0,0.0,31.27885815,38.336,11.512925464970229,11.512925464970229,0.2781428571428567,0.0048571428571428,0.0175714285714285,0,0,0.9850746268656716,55.0,0,0,0.0,0.0,0.0,0.0,2.689,0.002,0.4238805970149252,55.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9850746268656716,67,0.0,0.0,2.189,0.3925373134328358
"('chrXIII', 99259, 99375)",-,NM_001182444.1,18.562,11.512925464970229,0.8347107448817322,0.2248571428571416,0.2044285714285701,0.7402857142857159,0,0.0,0.0,-1.9730769230769212,0.0,213.8334839,18.275,11.512925464970229,0.53785429615391,0.1657142857142851,0.1482857142857142,0.7760000000000029,8,0,0.3793103448275862,18.0,0,0,0.0,0.0,0.8571428571428571,0.0,8.475,0.053,0.2767241379310344,18.0,0,-1,0.0,0.0,0.8571428571428571,0.0,-1.8,8,0,0.3793103448275862,116,0.0,-1.9935483870967723,8.168,0.28879310344827586
"('chrII', 170676, 170804)",+,NM_001178266.1,34.43,11.512925464970229,11.512925464970229,0.6154285714285684,0.1048571428571424,0.1747142857142843,0,0.0,0.0,0.0,0.0,105.5153746,33.437,11.512925464970229,11.512925464970229,0.5897142857142823,0.089142857142857,0.2582857142857134,28,0,0.5703125,33.0,0,0,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.0,22.142,0.068,0.3578125,33.0,0,0,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.0,0.0,28,0,0.53125,128,0.0,0.0,19.23,0.34296875
"('chrXIII', 23360, 23658)",-,NM_001182487.1,28.394,11.512925464970229,11.512925464970229,0.5309999999999984,0.4160000000000012,0.4335714285714308,0,0.0,-20.60704225352112,-8.716999999999995,0.0,146.5869469,32.494,11.512925464970229,11.512925464970229,0.4648571428571414,0.4210000000000015,0.4132857142857156,47,0,0.4530201342281879,12.0,0,0,0.7142857142857143,0.0,0.7142857142857143,-8.3,26.966,1.08,0.209731543624161,43.0,0,0,0.0,0.0,0.4285714285714285,-25.4,-8.3,47,1,0.4228187919463087,298,-20.502127659574473,-8.708999999999998,22.332,0.20067114093959731
"('chrIV', 733702, 733775)",-,NM_001180446.3,15.6,2.453407982728629,11.512925464970229,0.2374285714285725,0.544857142857141,0.56585714285714,0,0.0,0.0,0.0,0.0,119.4830055,16.3,2.2256240518579173,11.512925464970229,0.2477142857142864,0.572999999999999,0.5385714285714267,17,0,0.6027397260273972,17.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,13.247,0.019,0.4013698630136986,17.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,17,0,0.6027397260273972,73,0.0,0.0,11.516,0.3931506849315068
"('chrXIV', 380689, 380781)",-,NM_001182968.3,15.277,0.4215944900380479,11.512925464970229,0.6477142857142818,0.3978571428571433,0.3391428571428574,0,0.0,-4.679545454545452,0.0,0.0,115.8719591,16.333,0.3509769228240947,11.512925464970229,0.5927142857142846,0.4201428571428567,0.3402857142857144,18,0,0.6086956521739131,15.0,0,0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.0,9.773,0.212,0.2858695652173913,15.0,0,0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.0,0.0,18,0,0.6086956521739131,92,-4.642499999999998,0.0,8.258,0.2673913043478261
"('chrVII', 249886, 250086)",+,NM_001181002.1,39.063,11.512925464970229,4.710530701645918,0.6711428571428544,0.2765714285714288,0.3035714285714262,0,-13.1,-13.275000000000006,-3.866666666666667,0.0,180.5129803,34.005,11.512925464970229,6.214608098422191,0.5419999999999999,0.5152857142857115,0.3125714285714265,42,0,0.4,48.0,0,0,0.5714285714285714,0.0,0.2857142857142857,0.0,17.889,0.301,0.264,39.0,0,0,0.4285714285714285,0.8571428571428571,0.2857142857142857,-13.1,0.0,47,0,0.36,200,-13.274157303370787,-2.277777777777778,16.438,0.23150000000000004
"('chrIV', 399361, 399484)",+,NM_001180088.1,14.862,6.907755278982137,11.512925464970229,0.6307142857142851,0.7629999999999996,0.6942857142857057,0,0.0,-10.783333333333331,0.0,0.0,207.828278,14.753,11.512925464970229,11.512925464970229,0.6565714285714277,0.7768571428571437,0.6919999999999917,40,0,0.5040650406504065,14.0,0,0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0,34.41,0.004,0.4536585365853657,14.0,0,0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0,0.0,40,0,0.5040650406504065,123,-12.057142857142859,0.0,34.224,0.44308943089430886
"('chrVII', 497937, 497999)",-,NM_001181130.3,10.806,1.491654876777717,11.512925464970229,0.5489999999999998,0.1092857142857145,0.530571428571429,0,0.0,0.0,0.0,288.0,84.90912315,13.114,2.645075401940822,11.512925464970229,0.5121428571428592,0.1848571428571418,0.4965714285714285,12,0,0.6935483870967742,5.0,0,0,0.7142857142857143,0.0,0.7142857142857143,0.0,8.438,0.164,0.3225806451612903,5.0,0,0,0.7142857142857143,0.0,0.8571428571428571,0.0,0.0,13,1,0.6451612903225806,62,0.0,0.0,6.338,0.3241935483870968
"('chrI', 87387, 87500)",+,NM_001178175.1,21.983,4.268697949366879,4.961845129926823,0.5805714285714284,0.1062857142857142,0.4314285714285707,0,0.0,0.0,-6.882653061224485,0.0,45.86492614,22.789,5.115995809754082,6.907755278982137,0.4937142857142846,0.1327142857142855,0.3967142857142851,25,0,0.584070796460177,22.0,0,0,1.0,0.0,0.8571428571428571,-6.8,14.437,0.436,0.2982300884955752,22.0,0,0,0.8571428571428571,0.0,0.8571428571428571,0.0,-6.8,17,0,0.584070796460177,113,0.0,-6.799999999999995,11.375,0.28938053097345134
"('chrIV', 1319617, 1319697)",-,NM_001180732.1,10.701,0.231932057347289,11.512925464970229,0.7895714285714281,0.250142857142855,0.1597142857142851,0,0.0,-5.9,0.0,291.0,78.31482837,11.149,0.4509856234099736,11.512925464970229,0.700999999999998,0.2839999999999986,0.1975714285714275,19,0,0.725,13.0,-1,0,0.8571428571428571,0.0,0.0,0.0,18.32,0.003,0.33125,11.0,0,0,0.0,0.4285714285714285,0.4285714285714285,0.0,0.0,20,0,0.475,80,-5.9,0.0,16.909,0.29125
"('chrV', 432671, 433196)",+,NM_001179023.3,9.225,5.521460917862246,11.512925464970229,0.5859999999999994,0.0167142857142857,0.669571428571423,0,0.0,0.0,0.0,0.0,203.6012961,12.085,11.512925464970229,11.512925464970229,0.4495714285714309,0.0441428571428571,0.7091428571428531,152,1,0.4076190476190476,6.0,0,0,0.7142857142857143,0.0,0.7142857142857143,0.0,52.803,1.657,0.247047619047619,11.0,0,0,0.4285714285714285,0.0,0.8571428571428571,0.0,0.0,114,1,0.4171428571428571,525,0.0,0.0,37.188,0.25409523809523804
"('chrIV', 629905, 630173)",+,NM_001180400.3,9.194,0.3188288014486177,1.305636458102436,0.8271428571428583,0.3402857142857147,0.2665714285714281,0,0.0,-10.053571428571423,-20.63199999999998,0.0,86.13799151,7.987,0.2850189550322972,1.3093333199837622,0.8104285714285738,0.4039999999999988,0.2859999999999994,46,3,0.3955223880597014,7.0,-1,-1,0.8571428571428571,0.0,0.2857142857142857,-20.3,22.404,1.902,0.2014925373134328,7.0,-1,0,0.8571428571428571,0.8571428571428571,0.0,0.0,-20.3,40,2,0.3955223880597014,268,-10.040540540540539,-20.402999999999977,20.492,0.1955223880597015
"('chrV', 158994, 159087)",-,NM_001178894.1,6.547,0.25489224962879,0.4155154439616658,0.73242857142857,0.5132857142857162,0.2824285714285698,0,0.0,-0.6742424242424243,-1.7,0.0,240.9147412,7.254,0.2876820724517809,0.4094731295057031,0.7069999999999976,0.5251428571428579,0.254999999999997,17,0,0.5806451612903226,7.0,-1,-1,0.5714285714285714,0.7142857142857143,0.1428571428571428,0.0,8.51,0.046,0.3075268817204301,7.0,-1,-1,0.5714285714285714,0.7142857142857143,0.1428571428571428,0.0,0.0,17,0,0.5806451612903226,93,-0.7142857142857143,0.0,7.749,0.28494623655913975
"('chrIII', 173115, 173198)",-,NM_001184315.1,16.323,1.5278579254416775,11.512925464970229,0.5972857142857129,0.009,0.4087142857142837,0,0.0,0.0,0.0,0.0,264.8940627,18.023,2.137070654516472,11.512925464970229,0.531428571428572,0.0145714285714285,0.4569999999999973,8,0,0.8795180722891566,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,6.225,0.001,0.280722891566265,44.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,4,0,0.8072289156626506,83,0.0,0.0,5.455,0.3036144578313253
"('chrIX', 127661, 128148)",+,,18.143,2.9187712324178627,3.2968373663379125,0.4277142857142842,0.236142857142858,0.3091428571428576,0,-9.5,-10.682022471910102,0.0,,,30.917,5.521460917862246,4.268697949366879,0.0964285714285713,0.4967142857142819,0.0904285714285714,141,0,0.37782340862423,35.0,0,0,0.0,0.5714285714285714,0.0,0.0,25.629,0.951,0.24435318275154,35.0,0,0,0.0,0.5714285714285714,0.0,-9.5,0.0,136,1,0.3634496919917864,487,-9.302999999999992,0.0,20.205,0.2213552361396304
"('chrV', 307956, 308067)",+,NM_001184512.1,10.074,1.4784096500276962,2.6882475738060303,0.6951428571428487,0.084,0.7621428571428518,0,-12.5,-13.273255813953485,0.0,258.0,92.23179251,10.025,2.513306124309698,2.6882475738060303,0.6781428571428496,0.1394285714285714,0.7395714285714234,33,1,0.5135135135135135,10.0,-1,0,0.7142857142857143,0.0,0.8571428571428571,0.0,13.509,0.987,0.3279279279279279,10.0,0,0,0.7142857142857143,0.0,0.7142857142857143,-13.3,0.0,28,1,0.5135135135135135,111,-13.441095890410951,0.0,13.284,0.3315315315315316
"('chrIV', 1319720, 1319816)",-,NM_001180732.1,29.361,11.512925464970229,3.649658740960655,0.6047142857142818,0.1952857142857129,0.0177142857142857,0,0.0,0.0,-11.4,218.0,78.31482837,29.085,11.512925464970229,2.312635428847547,0.5448571428571412,0.1607142857142855,0.0194285714285714,29,1,0.53125,30.0,0,0,0.5714285714285714,0.0,0.0,0.0,11.981,0.932,0.30625,30.0,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,27,1,0.5520833333333334,96,0.0,-11.4,11.58,0.3072916666666667
"('chrVII', 497365, 497458)",-,NM_001181130.3,34.405,11.512925464970229,1.84516024595517,0.7381428571428562,0.3274285714285717,0.3498571428571417,0,0.0,0.0,0.0,770.0,84.90912315,30.664,11.512925464970229,1.18090753139494,0.687142857142855,0.3095714285714289,0.4112857142857142,7,0,0.7096774193548387,46.0,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,8.117,0.018,0.3,46.0,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,7,0,0.7096774193548387,93,0.0,0.0,7.243,0.27849462365591393
"('chrXVI', 678193, 678279)",-,NM_001184160.1,8.933,0.2984060358147566,11.512925464970229,0.7344285714285715,0.0111428571428571,0.2681428571428545,0,0.0,0.0,0.0,0.0,183.3133985,12.226,0.5568695622673976,11.512925464970229,0.6527142857142846,0.0322857142857142,0.2884285714285697,16,0,0.6744186046511628,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,10.351,0.049,0.286046511627907,3.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,16,0,0.6744186046511628,86,0.0,0.0,7.634,0.3
