ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,LengthFeature,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe
"('chrII', 612676, 613041)",-,,63.0,0,0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.0,7,0,0.3178082191780822,20.0,0,0,0.5714285714285714,0.4285714285714285,0.8571428571428571,0.0,-1.4,92,1,0.2876712328767123,365,0.0,0.0,24
"('chrII', 667156, 667399)",-,,23.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,14,0,0.2716049382716049,30.0,0,0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,62,0,0.3539094650205761,243,0.0,0.0,10
"('chrII', 689285, 689711)",+,,95.0,0,-1,0.0,0.0,0.1428571428571428,0.0,-10.1,7,0,0.3427230046948357,10.0,0,-1,0.2857142857142857,0.0,1.0,0.0,-10.1,108,1,0.3192488262910798,426,0.0,-10.1,13
"('chrIV', 236260, 236489)",-,,69.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,5,0,0.4104803493449782,44.0,0,0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,52,0,0.3100436681222707,229,0.0,0.0,5
"('chrIV', 388891, 389378)",-,,25.0,0,0,0.4285714285714285,0.0,0.1428571428571428,0.0,0.0,9,0,0.19917864476386038,27.0,0,0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0,0.0,81,1,0.2381930184804928,487,0.0,0.0,14
"('chrIV', 595734, 595944)",+,,59.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,11,0,0.43333333333333335,38.0,0,0,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.0,0.0,57,0,0.4333333333333333,210,0.0,0.0,16
"('chrIV', 726506, 726742)",-,,101.0,0,0,0.0,0.0,0.0,0.0,0.0,16,0,0.5635593220338984,25.0,0,0,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,66,0,0.4067796610169492,236,0.0,0.0,19
"('chrIV', 748211, 748332)",-,,50.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,0,0,0.48760330578512395,15.0,0,-1,0.7142857142857143,0.8571428571428571,0.5714285714285714,-7.3,0.0,18,0,0.5289256198347108,121,0.0,0.0,6
"('chrIV', 798674, 799012)",-,,18.0,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0,0,0.3254437869822485,32.0,0,0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.0,0.0,93,1,0.3579881656804733,338,0.0,0.0,11
"('chrIV', 938455, 938746)",-,,92.0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0.5910652920962199,64.0,0,0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.0,0.0,90,0,0.3711340206185567,291,0.0,0.0,13
"('chrIV', 997009, 997362)",-,,43.0,0,0,0.0,0.0,0.0,0.0,0.0,17,0,0.31728045325779036,23.0,0,0,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.0,0.0,103,0,0.254957507082153,353,0.0,0.0,17
"('chrIV', 999661, 1000003)",-,,67.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,19,0,0.2982456140350877,23.0,0,0,0.1428571428571428,0.0,0.7142857142857143,-17.7,0.0,94,2,0.4590643274853801,342,0.0,0.0,13
"('chrIV', 1061723, 1062092)",-,,40.0,0,0,0.1428571428571428,0.0,0.4285714285714285,0.0,0.0,0,0,0.3089430894308943,33.0,0,0,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.0,0.0,99,1,0.2737127371273712,369,0.0,0.0,9
"('chrIV', 1139262, 1139474)",+,,71.0,0,0,0.0,0.7142857142857143,0.4285714285714285,0.0,0.0,0,0,0.4528301886792453,23.0,0,0,0.0,0.8571428571428571,0.5714285714285714,0.0,0.0,42,1,0.320754716981132,212,0.0,0.0,8
"('chrIV', 1163451, 1163871)",-,,53.0,0,0,0.4285714285714285,0.0,1.0,0.0,0.0,5,0,0.24761904761904763,14.0,0,-1,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,0.0,124,1,0.3119047619047619,420,0.0,0.0,14
"('chrIV', 1162626, 1163106)",-,,3.0,0,0,0.8571428571428571,0.5714285714285714,0.4285714285714285,0.0,0.0,6,1,0.19375,32.0,0,0,0.4285714285714285,0.0,0.8571428571428571,0.0,-5.0,117,1,0.25,480,0.0,-10.6,18
"('chrIV', 1192366, 1192526)",-,,51.0,0,0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0,0,0.4125,33.0,0,0,0.0,0.0,0.2857142857142857,-18.4,0.0,37,0,0.4125,160,0.0,0.0,8
"('chrIV', 1270709, 1271175)",+,,231.0,0,0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,14,1,0.5085836909871244,20.0,0,0,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.0,0.0,116,1,0.3690987124463519,466,0.0,0.0,14
"('chrIV', 1374906, 1375400)",+,,17.0,0,0,0.0,1.0,0.7142857142857143,0.0,0.0,15,0,0.16396761133603238,14.0,0,0,0.0,0.0,1.0,0.0,0.0,144,3,0.3603238866396761,494,0.0,0.0,11
"('chrIV', 1376006, 1376339)",+,,79.0,0,0,0.5714285714285714,0.0,0.1428571428571428,0.0,0.0,8,0,0.3003003003003003,23.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,92,2,0.3903903903903903,333,0.0,0.0,11
"('chrIX', 173077, 173419)",+,,30.0,0,0,0.0,0.0,0.0,0.0,0.0,20,1,0.21052631578947367,33.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,94,0,0.3157894736842105,342,0.0,0.0,20
"('chrIX', 219623, 220054)",-,,133.0,0,0,0.0,0.5714285714285714,0.4285714285714285,0.0,0.0,9,0,0.3805104408352668,15.0,0,0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,0.0,125,0,0.2575406032482598,431,0.0,0.0,10
"('chrXI', 31989, 32456)",-,,53.0,0,0,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.0,0.0,21,0,0.2762312633832976,33.0,0,0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0,0.0,134,2,0.2933618843683083,467,0.0,0.0,21
"('chrXI', 42470, 42801)",-,,28.0,0,0,0.7142857142857143,0.4285714285714285,0.0,0.0,0.0,9,0,0.22658610271903323,13.0,0,-1,0.0,0.0,0.8571428571428571,0.0,0.0,53,3,0.3716012084592145,331,0.0,0.0,16
"('chrXI', 42055, 42313)",-,,106.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0.6356589147286822,17.0,0,0,0.4285714285714285,0.7142857142857143,0.5714285714285714,-3.5,0.0,73,1,0.3875968992248062,258,0.0,0.0,7
"('chrXI', 253242, 253738)",+,,200.0,0,0,0.0,0.7142857142857143,0.4285714285714285,0.0,0.0,5,0,0.5443548387096774,42.0,0,0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.0,0.0,100,1,0.2923387096774194,496,0.0,0.0,28
"('chrXI', 253783, 253954)",-,,52.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,10,0,0.49707602339181284,26.0,0,0,0.7142857142857143,0.0,0.8571428571428571,-15.2,0.0,52,1,0.4678362573099415,171,-8.9,0.0,10
"('chrXI', 383323, 383469)",-,,16.0,0,0,0.0,0.0,0.0,0.0,0.0,14,0,0.3904109589041096,9.0,0,0,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.0,0.0,14,1,0.3082191780821918,146,0.0,-6.0,16
"('chrXI', 452716, 453113)",+,,70.0,0,0,0.0,0.8571428571428571,0.0,0.0,0.0,8,0,0.34760705289672544,24.0,0,0,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.0,0.0,112,1,0.2947103274559194,397,0.0,0.0,13
"('chrXI', 474844, 474961)",-,,16.0,0,0,0.5714285714285714,0.0,0.4285714285714285,-11.6,0.0,5,1,0.2905982905982906,28.0,0,0,0.5714285714285714,0.1428571428571428,0.2857142857142857,-14.9,0.0,26,1,0.4017094017094017,117,-11.6,0.0,7
"('chrXI', 594718, 595237)",+,,209.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.4373795761078998,16.0,0,0,0.7142857142857143,0.0,1.0,0.0,0.0,84,1,0.4238921001926782,519,0.0,0.0,10
"('chrXI', 617358, 617799)",+,,27.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,14,0,0.36507936507936506,18.0,-1,0,0.4285714285714285,0.0,0.4285714285714285,0.0,0.0,114,0,0.3083900226757369,441,0.0,0.0,16
"('chrXV', 360021, 360301)",-,,49.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,6,0,0.37857142857142856,30.0,0,0,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.0,0.0,92,0,0.45,280,0.0,0.0,11
"('chrXV', 508238, 508658)",-,,25.0,0,0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,18,0,0.31666666666666665,19.0,0,0,0.4285714285714285,1.0,0.8571428571428571,0.0,0.0,82,2,0.4238095238095238,420,0.0,0.0,10
"('chrXV', 660722, 660970)",-,,99.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,7,0,0.46774193548387094,13.0,0,0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0,0.0,57,0,0.3790322580645161,248,0.0,0.0,10
"('chrXV', 676677, 676853)",+,,134.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,0,0,0.8295454545454546,29.0,0,-1,0.0,0.8571428571428571,0.0,0.0,-3.9,15,1,0.6193181818181818,176,0.0,0.0,3
"('chrXV', 730357, 730535)",-,,92.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,7,0,0.5280898876404494,54.0,0,0,0.0,0.8571428571428571,0.1428571428571428,0.0,0.0,43,1,0.4269662921348314,178,0.0,0.0,7
"('chrXV', 780620, 780780)",+,,5.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,12,0,0.3,7.0,0,0,0.8571428571428571,0.0,0.4285714285714285,-7.7,0.0,54,1,0.3125,160,0.0,0.0,12
"('chrXV', 858242, 858621)",-,,175.0,0,0,0.4285714285714285,0.0,0.4285714285714285,0.0,0.0,8,0,0.575197889182058,11.0,-1,0,0.7142857142857143,0.0,0.4285714285714285,0.0,0.0,81,2,0.4749340369393139,379,0.0,0.0,8
"('chrXV', 918643, 918928)",-,,38.0,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0.3719298245614035,16.0,0,0,0.7142857142857143,0.0,0.8571428571428571,0.0,0.0,37,1,0.3684210526315789,285,0.0,0.0,20
"('chrXV', 930077, 930311)",+,,50.0,0,0,0.0,0.0,0.0,-10.8,0.0,8,1,0.358974358974359,25.0,0,0,0.2857142857142857,0.1428571428571428,0.2857142857142857,-10.8,0.0,66,0,0.2863247863247863,234,-10.8,0.0,15
"('chrXV', 1008777, 1009114)",+,,9.0,0,0,0.4285714285714285,0.2857142857142857,0.8571428571428571,0.0,0.0,17,0,0.3056379821958457,72.0,0,0,0.0,0.4285714285714285,0.8571428571428571,0.0,0.0,111,2,0.3590504451038576,337,0.0,-7.3,24
"('chrXV', 1031890, 1032012)",-,,35.0,0,0,0.0,0.4285714285714285,0.7142857142857143,0.0,0.0,12,0,0.38524590163934425,14.0,0,0,0.8571428571428571,0.0,0.7142857142857143,0.0,0.0,23,0,0.4344262295081967,122,0.0,0.0,11
"('chrIII', 17974, 18363)",+,,52.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,14,0,0.35989717223650386,45.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,60,0,0.2699228791773779,389,0.0,0.0,22
"('chrIII', 67052, 67407)",-,,26.0,0,0,0.4285714285714285,0.0,0.7142857142857143,0.0,0.0,20,0,0.2619718309859155,39.0,0,0,0.4285714285714285,0.7142857142857143,0.8571428571428571,0.0,0.0,43,0,0.3774647887323943,355,0.0,0.0,20
"('chrIII', 65623, 66103)",-,,26.0,0,0,0.1428571428571428,0.7142857142857143,0.2857142857142857,0.0,0.0,13,0,0.2520833333333333,22.0,0,0,0.7142857142857143,0.1428571428571428,0.0,0.0,0.0,128,1,0.2479166666666666,480,0.0,0.0,13
"('chrIII', 128976, 129342)",+,,20.0,0,0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.0,0.0,6,0,0.22404371584699453,12.0,0,0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,92,0,0.4098360655737705,366,0.0,0.0,7
"('chrVII', 524669, 524939)",+,,80.0,0,0,0.0,0.7142857142857143,0.1428571428571428,0.0,0.0,0,2,0.36666666666666664,44.0,0,0,0.7142857142857143,0.8571428571428571,0.1428571428571428,0.0,0.0,65,0,0.4703703703703704,270,0.0,0.0,13
"('chrVII', 117598, 118003)",-,,25.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,29,0,0.2419753086419753,16.0,0,0,0.1428571428571428,0.0,0.0,0.0,0.0,75,2,0.3679012345679012,405,0.0,0.0,15
"('chrVII', 128774, 129015)",+,,93.0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0.44813278008298757,20.0,0,0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,67,0,0.4564315352697095,241,0.0,0.0,7
"('chrVII', 175837, 176317)",-,,106.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,6,0,0.28541666666666665,62.0,0,0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.0,127,1,0.31875,480,0.0,0.0,7
"('chrVII', 194166, 194605)",-,,31.0,0,0,0.0,0.4285714285714285,0.5714285714285714,0.0,0.0,6,0,0.23234624145785876,47.0,0,0,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.0,-5.3,119,0,0.2596810933940774,439,0.0,-10.9,13
"('chrVII', 252154, 252246)",+,,29.0,0,0,0.0,0.4285714285714285,0.2857142857142857,0.0,0.0,0,0,0.44565217391304346,31.0,0,0,0.0,0.4285714285714285,0.7142857142857143,0.0,0.0,9,0,0.4239130434782608,92,0.0,0.0,5
"('chrVII', 441241, 441526)",-,,48.0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0.43508771929824563,32.0,0,0,0.1428571428571428,0.0,0.2857142857142857,0.0,-5.1,42,0,0.3824561403508772,285,0.0,0.0,8
"('chrVII', 533905, 534023)",+,,16.0,-1,0,0.5714285714285714,0.0,0.0,0.0,0.0,9,0,0.6864406779661016,11.0,-1,-1,0.8571428571428571,0.4285714285714285,0.7142857142857143,0.0,0.0,15,0,0.6610169491525424,118,0.0,0.0,9
"('chrVII', 752906, 753098)",-,,23.0,0,0,0.4285714285714285,0.0,0.4285714285714285,0.0,0.0,16,0,0.359375,19.0,0,0,0.7142857142857143,0.1428571428571428,0.4285714285714285,0.0,-3.1,41,0,0.4114583333333333,192,0.0,0.0,9
"('chrVII', 864157, 864459)",-,,50.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,0,0,0.5529801324503312,54.0,0,0,0.7142857142857143,0.0,0.4285714285714285,0.0,0.0,42,1,0.4271523178807947,302,-12.2,0.0,6
"('chrVII', 868814, 869201)",+,,34.0,0,0,0.8571428571428571,0.1428571428571428,0.0,0.0,0.0,6,0,0.34366925064599485,42.0,0,0,1.0,0.5714285714285714,0.0,0.0,0.0,94,0,0.3875968992248062,387,0.0,0.0,12
"('chrVII', 898650, 898776)",+,,68.0,0,0,0.0,0.2857142857142857,0.4285714285714285,0.0,0.0,0,0,0.6666666666666666,13.0,0,0,1.0,0.5714285714285714,0.8571428571428571,0.0,-8.3,10,0,0.4126984126984127,126,0.0,-8.3,6
"('chrVII', 907550, 907658)",+,,47.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.6296296296296297,0.0,-1,0,0.8571428571428571,0.0,0.7142857142857143,-4.4,0.0,19,0,0.6296296296296297,108,0.0,0.0,5
"('chrVII', 972443, 972579)",-,,28.0,0,0,0.0,0.0,0.2857142857142857,-10.7,0.0,11,0,0.45588235294117646,20.0,0,0,0.0,0.2857142857142857,1.0,-10.7,0.0,39,1,0.3014705882352941,136,-10.7,0.0,11
"('chrVII', 1013400, 1013613)",+,,67.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,10,1,0.38497652582159625,17.0,0,0,0.8571428571428571,0.0,0.5714285714285714,0.0,0.0,64,1,0.4272300469483568,213,0.0,0.0,10
