ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe
"('chrIV', 733702, 733775)",-,,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9863013698630136
"('chrIV', 399361, 399484)",+,,77.0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0.7398373983739838
"('chrI', 87387, 87500)",+,,33.0,0,0,0.0,0.0,0.0,0.0,-6.8,7,0,0.672566371681416
"('chrV', 432671, 433196)",+,,66.0,0,0,0.0,0.0,0.0,0.0,0.0,78,0,0.45904761904761904
"('chrIV', 629905, 630173)",+,,75.0,0,0,0.42857142857142855,0.0,0.0,0.0,-21.7,33,0,0.5447761194029851
"('chrV', 158994, 159087)",-,,9.0,-1,0,0.42857142857142855,0.0,0.0,0.0,0.0,6,0,0.8817204301075269
"('chrIII', 173115, 173198)",-,,57.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9879518072289156
"('chrIX', 127661, 128148)",+,,49.0,0,0,0.0,0.0,0.14285714285714285,-9.3,0.0,81,1,0.3860369609856263
"('chrXVI', 678193, 678279)",-,,47.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.872093023255814
"('chrIV', 431386, 431472)",-,,47.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9883720930232558
"('chrVII', 859260, 859473)",-,,19.0,0,0,0.14285714285714285,0.0,0.42857142857142855,-22.5,0.0,57,1,0.4272300469483568
"('chrXIV', 501156, 501502)",+,,106.0,0,0,0.0,0.0,0.0,0.0,0.0,50,0,0.5144508670520231
"('chrII', 426516, 426873)",-,,34.0,0,0,0.0,0.0,0.0,-12.5,0.0,50,0,0.4341736694677871
"('chrIV', 1266769, 1266861)",-,,55.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.8913043478260869
"('chrXIII', 517563, 517885)",+,,51.0,0,0,0.0,0.0,0.0,-11.7,0.0,37,0,0.6894409937888198
"('chrIII', 293939, 293993)",+,,28.0,-1,0,0.0,0.0,0.0,0.0,0.0,5,0,0.7222222222222222
"('chrXIII', 854816, 854898)",+,,31.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,6,0,0.573170731707317
"('chrVIII', 251155, 251248)",+,,43.0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,0.6451612903225806
"('chrXIV', 557610, 557684)",+,,36.0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,0.6621621621621622
"('chrII', 679942, 680039)",-,,61.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9896907216494846
"('chrI', 142253, 142619)",+,,53.0,0,0,0.0,0.0,0.0,-13.5,0.0,83,0,0.4344262295081967
"('chrII', 45644, 45977)",+,,56.0,0,0,0.0,0.0,0.0,-21.8,0.0,31,0,0.4924924924924925
"('chrXV', 867149, 867586)",+,,74.0,0,0,0.0,0.0,0.0,0.0,-12.8,46,0,0.5377574370709383
"('chrVII', 311015, 311526)",+,,57.0,0,0,0.0,0.0,0.0,-11.1,-4.3,136,1,0.42857142857142855
"('chrIV', 322282, 322703)",+,,76.0,0,0,0.0,0.0,0.0,-11.7,0.0,21,0,0.7363420427553444
"('chrXVI', 654167, 654570)",+,,70.0,0,0,0.0,0.0,0.0,-22.2,0.0,57,1,0.47642679900744417
"('chrIV', 491559, 491898)",+,,48.0,0,0,0.0,0.0,0.0,-23.7,0.0,38,0,0.5634218289085545
"('chrII', 604514, 604927)",+,,34.0,0,0,0.0,0.0,0.0,0.0,0.0,92,0,0.4019370460048426
"('chrXIII', 732465, 732875)",+,,62.0,0,0,0.0,0.0,0.0,0.0,0.0,19,0,0.7902439024390244
"('chrV', 269751, 270148)",-,,87.0,0,0,0.0,0.0,0.0,0.0,-8.0,46,0,0.5617128463476071
"('chrIX', 256554, 257026)",-,,102.0,0,0,0.0,0.0,0.0,0.0,0.0,72,1,0.413135593220339
"('chrXV', 80360, 80774)",+,,48.0,0,-1,0.0,0.8571428571428571,0.8571428571428571,-12.7,-5.5,54,0,0.47342995169082125
"('chrXVI', 282140, 282665)",+,,77.0,0,0,0.0,0.0,0.0,-14.4,0.0,52,0,0.5504761904761905
"('chrVIII', 148116, 148666)",-,,64.0,0,0,0.0,0.0,0.0,-13.6,-8.5,49,0,0.649090909090909
"('chrVII', 365526, 365985)",-,,84.0,0,0,0.0,0.0,0.0,-27.3,0.0,107,2,0.49019607843137253
"('chrVII', 364964, 365432)",-,,131.0,0,0,0.0,0.0,0.0,0.0,0.0,51,0,0.3888888888888889
"('chrX', 702798, 703054)",-,,74.0,0,0,0.0,0.0,0.0,-11.2,-7.6,15,0,0.546875
"('chrX', 75938, 76324)",+,,61.0,0,0,0.0,0.0,0.0,-17.4,-6.7,42,0,0.582901554404145
"('chrIX', 316771, 317171)",+,,54.0,0,0,0.0,0.0,0.0,0.0,0.0,43,0,0.55
"('chrIV', 1450457, 1450846)",-,,93.0,0,0,0.0,0.0,0.0,0.0,0.0,18,0,0.5886889460154242
"('chrXIII', 499878, 500151)",-,,43.0,0,0,0.0,0.0,0.0,-39.0,0.0,50,0,0.4358974358974359
"('chrVII', 439093, 439323)",+,,50.0,0,0,0.0,0.0,0.0,-17.2,0.0,45,1,0.5608695652173913
"('chrVII', 555830, 556307)",+,,37.0,0,0,1.0,0.14285714285714285,0.42857142857142855,0.0,0.0,69,0,0.5115303983228512
"('chrII', 89132, 89440)",-,,108.0,0,0,0.0,0.0,0.0,0.0,0.0,17,0,0.6688311688311688
"('chrXIII', 223380, 223781)",-,,81.0,0,0,0.0,0.0,0.0,0.0,0.0,22,0,0.6708229426433915
"('chrXIII', 225891, 226289)",+,,43.0,0,0,0.0,0.0,0.0,-10.9,-10.7,49,0,0.34673366834170855
"('chrXVI', 795029, 795394)",+,,174.0,0,0,0.0,0.0,0.0,0.0,-6.9,20,0,0.5643835616438356
"('chrVII', 920664, 921119)",+,,120.0,0,0,0.0,0.0,0.0,0.0,0.0,23,0,0.7406593406593407
"('chrIV', 1359969, 1360404)",+,,40.0,0,0,0.0,0.0,0.2857142857142857,-16.9,0.0,65,0,0.432183908045977
"('chrXII', 263205, 263594)",+,,81.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,40,0,0.4884318766066838
"('chrIII', 177906, 178213)",-,,69.0,0,0,0.0,0.0,0.0,-16.8,-4.3,34,0,0.5309446254071661
"('chrIV', 307333, 307765)",-,,78.0,0,0,0.0,0.0,0.0,0.0,0.0,52,0,0.5532407407407407
"('chrXIV', 494524, 494973)",-,,46.0,0,0,0.0,0.0,0.5714285714285714,-24.5,0.0,52,0,0.49443207126948774
"('chrVIII', 505247, 505516)",-,,32.0,0,0,0.0,0.0,0.7142857142857143,-14.7,0.0,54,0,0.40148698884758366
"('chrVII', 727038, 727357)",+,,55.0,0,0,0.0,0.0,0.0,-12.3,0.0,56,0,0.445141065830721
"('chrX', 156789, 157249)",-,,64.0,0,0,0.0,0.0,0.0,-26.8,0.0,55,0,0.4673913043478261
"('chrII', 332875, 333386)",+,,94.0,0,0,0.0,0.0,0.0,0.0,0.0,44,0,0.5185909980430529
"('chrXI', 109577, 109883)",+,,69.0,0,0,0.0,0.0,0.0,-12.3,0.0,31,1,0.6503267973856209
"('chrXI', 432034, 432432)",+,,63.0,0,0,0.0,0.0,0.0,-11.4,-4.0,72,0,0.44472361809045224
"('chrV', 396810, 397281)",+,,58.0,0,0,0.0,0.0,0.0,-13.7,-3.5,82,1,0.4309978768577495
"('chrIV', 230019, 230320)",+,,77.0,0,0,0.0,0.0,0.0,0.0,-11.3,36,0,0.5182724252491694
"('chrX', 91094, 91411)",+,,51.0,0,0,0.0,0.0,0.0,-15.1,0.0,39,0,0.6529968454258676
"('chrVIII', 126551, 127112)",+,,68.0,0,0,0.0,0.0,0.0,0.0,0.0,73,0,0.47237076648841353
"('chrXIV', 62372, 62923)",-,,232.0,0,0,0.0,0.0,0.0,0.0,0.0,29,0,0.5027223230490018
"('chrXV', 505937, 506338)",+,,56.0,0,0,0.0,0.0,0.0,-13.6,0.0,78,1,0.5461346633416458
"('chrVII', 437941, 438397)",-,,131.0,0,0,0.42857142857142855,0.0,0.0,0.0,-5.6,32,0,0.5482456140350878
"('chrIX', 99095, 99385)",-,,54.0,0,0,0.0,0.0,0.0,-10.3,-7.9,32,0,0.3758620689655172
"('chrXVI', 75985, 76223)",-,,52.0,0,0,0.0,0.0,0.0,-5.9,0.0,26,0,0.6050420168067226
"('chrXV', 93843, 94290)",-,,104.0,0,0,0.0,0.0,0.0,0.0,0.0,96,0,0.3243847874720358
"('chrXII', 522669, 523028)",+,,68.0,0,0,0.0,0.0,0.0,-22.1,-5.4,31,0,0.5905292479108635
"('chrXI', 283095, 283421)",+,,48.0,0,0,0.0,0.0,0.0,-25.9,0.0,46,0,0.44171779141104295
"('chrIV', 117666, 118157)",+,,53.0,0,0,0.0,0.0,0.0,-15.2,0.0,39,0,0.6843177189409368
"('chrII', 592416, 592768)",-,,87.0,0,0,0.0,0.0,0.0,0.0,0.0,40,0,0.5142045454545454
"('chrII', 168424, 168808)",+,,70.0,0,0,0.0,0.0,0.0,-2.2,0.0,33,0,0.5260416666666666
"('chrIV', 308427, 308792)",+,,156.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,17,0,0.6712328767123288
"('chrXII', 242321, 242680)",+,,66.0,0,0,0.0,0.0,0.0,-24.0,0.0,56,0,0.5097493036211699
"('chrXII', 931349, 931698)",-,,59.0,0,0,0.0,0.0,0.0,-8.1,0.0,63,0,0.40114613180515757
"('chrIX', 68715, 69149)",+,,86.0,0,0,0.0,0.0,0.0,0.0,0.0,33,0,0.619815668202765
"('chrVIII', 382306, 382747)",-,,139.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.7437641723356009
"('chrII', 60193, 60697)",-,,54.0,0,0,0.0,0.0,0.0,-12.7,0.0,52,0,0.5079365079365079
"('chrIV', 579478, 580017)",+,,114.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,69,1,0.37662337662337664
"('chrXVI', 377995, 378389)",-,,56.0,0,0,0.0,0.0,0.0,-6.9,0.0,28,0,0.6802030456852792
"('chrV', 306325, 306791)",+,,64.0,0,0,0.0,0.0,0.0,-12.0,0.0,43,0,0.6502145922746781
"('chrXI', 618374, 618742)",-,,140.0,0,0,0.0,0.0,0.0,0.0,-15.3,16,0,0.6086956521739131
"('chrXII', 898157, 898645)",+,,66.0,0,0,0.0,0.0,0.0,0.0,0.0,43,0,0.48155737704918034
"('chrII', 606280, 606668)",+,,56.0,0,0,0.0,0.0,0.0,-14.8,-4.8,42,0,0.5
"('chrXIV', 443826, 444171)",-,,44.0,0,0,0.0,0.0,0.0,-23.5,0.0,35,0,0.5855072463768116
"('chrV', 423590, 423951)",+,,62.0,0,0,0.0,0.0,0.0,-13.2,0.0,57,0,0.44598337950138506
"('chrXV', 92440, 92830)",-,,161.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,16,0,0.5923076923076923
"('chrXVI', 406646, 407067)",+,,26.0,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,27,0,0.7838479809976246
"('chrXV', 778859, 779386)",-,,118.0,0,0,0.0,0.0,0.0,0.0,0.0,33,0,0.5370018975332068
"('chrV', 362732, 363092)",+,,56.0,0,0,0.0,0.0,0.0,-6.1,0.0,36,0,0.5166666666666667
"('chrIV', 217602, 218007)",+,,64.0,0,0,0.0,0.0,0.0,0.0,0.0,51,0,0.45925925925925926
"('chrXIV', 331325, 331837)",+,,205.0,0,0,0.0,0.0,0.0,0.0,0.0,33,0,0.595703125
"('chrVII', 534473, 534785)",-,,65.0,0,0,0.0,0.0,0.0,-8.1,0.0,26,0,0.6314102564102564
"('chrII', 414753, 415259)",-,,94.0,0,0,0.0,0.0,0.0,0.0,0.0,79,1,0.5790513833992095
"('chrXI', 158615, 158966)",+,,130.0,0,0,0.0,0.0,0.0,0.0,0.0,50,0,0.46438746438746437
"('chrXI', 551680, 552002)",+,,84.0,0,0,0.0,0.0,0.0,-9.5,0.0,45,0,0.4968944099378882
"('chrVII', 787786, 788178)",-,,46.0,0,0,0.14285714285714285,0.0,0.0,0.0,-11.0,33,0,0.43112244897959184
"('chrXII', 819330, 819777)",+,,64.0,0,0,0.0,0.0,0.0,-9.3,0.0,37,0,0.5592841163310962
"('chrXV', 900767, 901193)",-,,59.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,33,0,0.6009389671361502
"('chrXIII', 551951, 552495)",+,,217.0,0,0,0.0,0.0,0.0,0.0,0.0,54,0,0.6047794117647058
"('chrXII', 795912, 796335)",-,,29.0,0,0,0.42857142857142855,0.0,0.0,0.0,0.0,59,1,0.4515366430260047
"('chrXII', 1028868, 1029252)",+,,69.0,0,0,0.0,0.0,0.0,-20.1,0.0,38,0,0.6432291666666666
"('chrIV', 1401800, 1402184)",+,,123.0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,0.5078125
"('chrXIII', 550801, 551203)",-,,145.0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,0.48507462686567165
"('chrIX', 231957, 232366)",-,,136.0,0,-1,0.0,0.0,0.0,0.0,-8.9,33,1,0.4083129584352078
"('chrXIII', 753742, 754219)",-,,76.0,0,0,0.0,0.0,0.0,-11.3,0.0,23,1,0.8071278825995807
"('chrIV', 1355236, 1355550)",-,,129.0,0,0,0.0,0.0,0.0,0.0,0.0,21,0,0.6242038216560509
"('chrVI', 223440, 223771)",-,,62.0,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0.3685800604229607
"('chrVI', 221267, 221414)",-,,72.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,6,0,0.7755102040816326
"('chrXIII', 651160, 651623)",+,,57.0,0,0,0.0,0.0,0.0,-14.1,0.0,37,0,0.6155507559395248
"('chrX', 73796, 74204)",+,,58.0,0,0,0.0,0.0,0.0,0.0,0.0,89,1,0.4362745098039216
"('chrVIII', 104405, 104803)",+,,66.0,0,0,0.0,0.0,0.0,-15.2,-5.9,34,0,0.542713567839196
"('chrXIII', 123742, 124157)",-,,64.0,0,0,0.0,0.0,0.0,-17.4,0.0,27,0,0.672289156626506
"('chrXII', 856574, 857057)",+,,96.0,0,0,0.0,0.0,0.0,0.0,0.0,86,1,0.33954451345755693
"('chrXV', 678379, 678790)",-,,80.0,0,-1,0.0,0.0,0.0,0.0,-4.6,42,0,0.46228710462287104
"('chrX', 608306, 608581)",+,,71.0,0,0,0.0,0.0,0.0,-12.7,0.0,30,0,0.5018181818181818
"('chrXIII', 163308, 163716)",-,,53.0,0,0,0.0,0.0,0.0,-11.0,-10.0,68,0,0.39950980392156865
"('chrXVI', 404956, 405457)",+,,62.0,0,0,0.0,0.0,0.0,0.0,0.0,115,0,0.3273453093812375
"('chrXIV', 64018, 64450)",-,,50.0,0,0,0.0,0.0,0.0,0.0,0.0,91,0,0.3148148148148148
"('chrIV', 340810, 341219)",-,,76.0,0,0,0.0,0.0,0.0,-17.5,0.0,33,0,0.5574572127139364
"('chrVII', 148598, 148966)",-,,71.0,0,0,0.0,0.0,0.0,-15.4,0.0,39,0,0.5760869565217391
"('chrVI', 64599, 64920)",-,,101.0,0,0,0.0,0.7142857142857143,0.42857142857142855,0.0,0.0,47,0,0.4735202492211838
"('chrXIV', 721770, 722302)",-,,84.0,0,0,0.0,0.0,0.0,-14.6,0.0,115,2,0.3533834586466165
"('chrXIII', 652775, 652847)",-,,49.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9861111111111112
