ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemMetric_Vienna_ens,ZipperStemStartMetric_Vienna_mfe,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LocalizationMetric_RNAstructure_ens,StartToBPStemMetric_RNAstructure_ens,BPToEndStemMetric_RNAstructure_ens,StartProtectionMetric_RNAstructure_ens,EndProtectionMetric_RNAstructure_ens,BPProtectionMetric_RNAstructure_ens,LongestStemMetric_Vienna_mfe,NWJMetric_Vienna_mfe,MLDMetric_Vienna_mfe,LocalizationMetric_Vienna_mfe,StartToBPStemMetric_Vienna_mfe,BPToEndStemMetric_Vienna_mfe,StartProtectionMetric_Vienna_mfe,EndProtectionMetric_Vienna_mfe,BPProtectionMetric_Vienna_mfe,ZipperStemEndMetric_Vienna_mfe,LongestStemMetric_Vienna_ens,NWJMetric_Vienna_ens,MLDMetric_Vienna_ens,ZipperStemStartMetric_RNAstructure_ens,ZipperStemEndMetric_RNAstructure_ens,LongestStemMetric_RNAstructure_ens,MLDMetric_RNAstructure_ens,LengthFeature,LocalizationMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe
"('chrXIII', 424997, 425153)",+,NM_001182578.1,19.972,11.512925464970229,6.214608098422191,0.173714285714284,0.5881428571428545,0.4948571428571406,0,-10.4,-9.92162162162162,-4.5,20.004,11.512925464970229,5.298317366548036,0.1694285714285696,0.6177142857142816,0.4991428571428564,37,0,0.5576923076923077,20.0,0,0,0.1428571428571428,0.5714285714285714,0.5714285714285714,0.0,18.835,0.021,0.3326923076923077,-9.180000000000001,-4.5,16.221,0.31987179487179485,156,20.0,-10.4,0.0,37,0.5448717948717948
"('chrVIII', 187514, 187676)",-,NM_001180027.1,19.363,1.6450650900772514,0.8698843590599994,0.2095714285714286,0.355857142857143,0.5034285714285754,0,0.0,0.0,-7.43061224489797,17.259,2.079441541679836,0.4109802887962745,0.3008571428571426,0.4605714285714279,0.6179999999999979,31,0,0.4691358024691358,13.0,-1,-1,0.1428571428571428,0.4285714285714285,0.7142857142857143,-7.6,16.784,0.058,0.2117283950617283,0.0,-6.367000000000008,11.66,0.1993827160493827,162,25.0,0.0,-7.6,33,0.4320987654320987
"('chrXIV', 545291, 545370)",+,NM_001182883.1,23.928,0.616186139423817,0.0844691566264499,0.1124285714285711,0.3767142857142826,0.9860000000000004,0,0.0,0.0,0.0,24.525,0.6616485135005743,0.0790432073404528,0.1107142857142855,0.3935714285714262,0.9867142857142864,20,0,0.4810126582278481,18.0,-1,-1,0.0,0.2857142857142857,1.0,0.0,14.934,0.024,0.2518987341772152,0.0,0.0,13.099,0.25316455696202533,79,20.0,0.0,0.0,11,0.4810126582278481
"('chrV', 307746, 307848)",+,NM_001184512.1,3.682,0.1154108515113277,11.512925464970229,0.5108571428571405,0.4419999999999988,0.4845714285714258,0,0.0,0.0,-3.404545454545456,6.088,0.2070241694343265,11.512925464970229,0.4898571428571409,0.4447142857142843,0.4527142857142839,17,0,0.6764705882352942,1.0,-1,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,13.166,0.007,0.2735294117647058,0.0,-3.226086956521739,12.472,0.2656862745098039,102,1.0,0.0,0.0,17,0.6764705882352942
"('chrIV', 715247, 715358)",-,NM_001180437.3,17.045,0.8509712657535126,0.843970070294529,0.3047142857142851,0.1365714285714291,0.5488571428571415,0,0.0,-4.216000000000001,0.0,11.805,0.4019712188539085,0.4064656084417478,0.4655714285714247,0.1907142857142849,0.5998571428571403,19,0,0.4594594594594595,25.0,0,0,0.0,0.0,0.5714285714285714,0.0,13.069,0.214,0.3432432432432433,-4.7357142857142875,0.0,10.218,0.32432432432432434,111,12.0,-3.4,0.0,24,0.3963963963963964
"('chrVII', 72988, 73137)",-,NM_001181091.1,36.052,5.809142990314028,11.512925464970229,0.5384285714285669,0.0207142857142857,0.5801428571428593,0,-4.7,-5.643076923076921,0.0,36.873,5.298317366548036,11.512925464970229,0.5332857142857096,0.0212857142857142,0.5761428571428588,27,1,0.4832214765100671,52.0,0,0,0.5714285714285714,0.0,0.4285714285714285,0.0,14.914,0.964,0.2530201342281879,-5.439062499999997,0.0,12.957,0.251006711409396,149,28.0,0.0,0.0,26,0.436241610738255
"('chrVIII', 498719, 498786)",-,NM_001184671.1,47.213,11.512925464970229,11.512925464970229,0.0072857142857142,0.3074285714285704,0.2908571428571411,0,0.0,0.0,0.0,45.223,11.512925464970229,11.512925464970229,0.0075714285714285,0.3474285714285716,0.3339999999999996,3,0,0.9402985074626866,55.0,0,0,0.0,0.4285714285714285,0.4285714285714285,0.0,2.519,0.0,0.3970149253731342,0.0,0.0,2.795,0.3388059701492537,67,55.0,0.0,0.0,3,0.9402985074626866
"('chrXIII', 99259, 99375)",-,NM_001182444.1,13.792,2.513306124309698,11.512925464970229,0.5425714285714257,0.0561428571428571,0.6459999999999984,0,0.0,-4.1,0.0,14.503,3.170085660698769,11.512925464970229,0.580428571428567,0.0602857142857142,0.6444285714285711,15,0,0.6120689655172413,8.0,0,0,0.5714285714285714,0.0,0.4285714285714285,0.0,16.763,0.043,0.3008620689655172,-2.56,0.0,15.508,0.27758620689655167,116,8.0,0.0,0.0,19,0.6120689655172413
"('chrII', 170676, 170804)",+,NM_001178266.1,15.353,6.907755278982137,6.907755278982137,0.5570000000000002,0.1867142857142857,0.4805714285714305,0,0.0,-3.4,-1.7199999999999986,15.4,6.907755278982137,11.512925464970229,0.4755714285714296,0.1961428571428572,0.4764285714285726,25,0,0.4609375,5.0,0,0,0.4285714285714285,0.0,0.7142857142857143,-1.6,16.314,0.117,0.20859375,-4.428571428571428,-1.7486842105263132,13.661,0.22109375,128,7.0,0.0,-1.6,15,0.4609375
"('chrXIII', 23360, 23658)",-,NM_001182487.1,17.462,0.2652684776148808,0.1554849028403949,0.2117142857142841,0.6124285714285655,0.5639999999999962,0,0.0,0.0,-10.353000000000009,12.755,0.176737178500054,0.1165338162559515,0.229999999999998,0.5804285714285661,0.5497142857142827,48,1,0.3624161073825503,8.0,-1,-1,0.2857142857142857,0.5714285714285714,0.5714285714285714,-11.1,15.66,0.284,0.1677852348993288,0.0,-10.700000000000006,14.932,0.14496644295302014,298,8.0,0.0,-11.1,51,0.3322147651006711
"('chrIV', 733702, 733775)",-,NM_001180446.3,14.439,11.512925464970229,11.512925464970229,0.206285714285713,0.2429999999999984,0.5949999999999971,0,0.0,0.0,0.0,14.722,6.907755278982137,4.509860006183766,0.1747142857142848,0.2131428571428559,0.6552857142857085,14,0,0.6438356164383562,14.0,0,0,0.0,0.1428571428571428,0.5714285714285714,0.0,15.007,0.008,0.4246575342465754,0.0,0.0,14.777,0.4232876712328767,73,16.0,0.0,0.0,13,0.6438356164383562
"('chrXIV', 380689, 380781)",-,NM_001182968.3,11.446,1.1056369036050742,2.937463365430016,0.6970000000000003,0.5551428571428564,0.5152857142857102,0,0.0,-2.5,0.0,11.348,1.3280254529959148,2.796881414808826,0.7077142857142854,0.5664285714285708,0.5709999999999965,17,0,0.6847826086956522,9.0,0,0,1.0,0.7142857142857143,0.5714285714285714,0.0,14.643,0.167,0.3271739130434783,-3.8857142857142857,0.0,12.966,0.3163043478260869,92,9.0,0.0,0.0,22,0.4782608695652174
"('chrVII', 249886, 250086)",+,NM_001181002.1,34.274,6.214608098422191,11.512925464970229,0.8011428571428562,0.0014285714285714,0.5482857142857154,0,0.0,0.0,-2.235714285714286,32.008,5.809142990314028,11.512925464970229,0.8095714285714279,0.0024285714285714,0.3985714285714319,56,0,0.38,23.0,0,0,0.8571428571428571,0.0,0.5714285714285714,0.0,15.227,0.48,0.2365,0.0,-2.8705882352941168,14.231,0.179,200,23.0,0.0,0.0,55,0.38
"('chrIV', 399361, 399484)",+,NM_001180088.1,23.311,11.512925464970229,11.512925464970229,0.1107142857142856,0.0884285714285713,0.7644285714285639,0,-9.3,-9.20736842105262,0.0,25.315,11.512925464970229,11.512925464970229,0.1132857142857141,0.0889999999999999,0.7552857142857063,32,0,0.3170731707317073,25.0,0,0,0.0,0.0,0.7142857142857143,0.0,26.657,0.02,0.2227642276422764,-8.65977011494252,0.0,20.278,0.24146341463414633,123,25.0,-9.3,0.0,32,0.3170731707317073
"('chrVII', 497937, 497999)",-,NM_001181130.3,14.676,5.809142990314028,11.512925464970229,0.407285714285714,0.0267142857142856,0.6781428571428494,0,0.0,0.0,0.0,16.02,5.809142990314028,11.512925464970229,0.3467142857142854,0.0315714285714285,0.6765714285714207,11,0,0.6774193548387096,9.0,0,0,0.5714285714285714,0.0,0.7142857142857143,0.0,5.536,0.273,0.2596774193548387,0.0,0.0,5.536,0.2758064516129032,62,33.0,0.0,0.0,6,0.6129032258064516
"('chrI', 87387, 87500)",+,NM_001178175.1,11.435,11.512925464970229,0.2890162954649176,0.6457142857142835,0.3410000000000011,0.2027142857142863,0,0.0,0.0,-7.448484848484838,11.02,11.512925464970229,0.4019712188539085,0.6597142857142853,0.3940000000000011,0.1361428571428573,12,0,0.5132743362831859,7.0,0,-1,0.8571428571428571,0.0,0.0,-6.3,10.896,0.042,0.2460176991150442,0.0,-7.087628865979373,10.173,0.2256637168141593,113,7.0,0.0,-6.9,14,0.5132743362831859
"('chrIV', 1319617, 1319697)",-,NM_001180732.1,28.222,11.512925464970229,11.512925464970229,0.3295714285714287,0.68614285714285,0.8254285714285744,0,0.0,0.0,0.0,27.691,11.512925464970229,11.512925464970229,0.320571428571429,0.6874285714285637,0.8248571428571448,18,0,0.5375,22.0,0,0,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.0,17.921,0.016,0.26375,0.0,0.0,17.571,0.26250000000000007,80,22.0,0.0,0.0,18,0.5375
"('chrV', 432671, 433196)",+,NM_001179023.3,40.021,11.512925464970229,11.512925464970229,0.5588571428571373,0.8217142857142905,0.452857142857141,0,0.0,0.0,0.0,40.002,11.512925464970229,11.512925464970229,0.5212857142857111,0.6862857142857123,0.5168571428571402,85,1,0.2476190476190476,43.0,0,0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0,22.433,0.74,0.1293333333333333,0.0,0.0,21.06,0.12285714285714286,525,43.0,0.0,0.0,82,0.2780952380952381
"('chrIV', 629905, 630173)",+,NM_001180400.3,49.172,11.512925464970229,11.512925464970229,0.1952857142857143,0.5859999999999942,0.5268571428571419,0,0.0,-6.589999999999999,-8.987628865979378,40.989,11.512925464970229,11.512925464970229,0.1555714285714288,0.6178571428571371,0.4724285714285693,64,0,0.3208955223880597,49.0,0,0,0.0,0.5714285714285714,0.5714285714285714,-8.5,16.519,0.581,0.2194029850746269,-9.4,-9.657999999999992,11.753,0.1970149253731343,268,40.0,0.0,-9.9,66,0.2723880597014925
"('chrV', 158994, 159087)",-,NM_001178894.1,36.37,11.512925464970229,11.512925464970229,0.1084285714285713,0.9501428571428584,0.5198571428571415,0,0.0,0.0,0.0,35.755,11.512925464970229,11.512925464970229,0.1352857142857143,0.9322857142857166,0.5662857142857108,18,0,0.7096774193548387,35.0,0,0,0.0,1.0,0.5714285714285714,0.0,20.356,0.043,0.3720430107526882,0.0,0.0,18.057,0.36021505376344093,93,35.0,0.0,0.0,18,0.7096774193548387
"('chrIII', 173115, 173198)",-,NM_001184315.1,35.933,4.3428059215206005,0.1625189294977749,0.0832857142857144,0.4825714285714251,0.5247142857142822,0,0.0,0.0,-1.299999999999999,29.574,5.809142990314028,0.0263439753396019,0.1545714285714283,0.5538571428571372,0.5268571428571389,8,0,0.6506024096385542,45.0,0,-1,0.0,0.5714285714285714,0.5714285714285714,-1.3,8.028,0.001,0.2602409638554217,0.0,-1.2999999999999987,7.57,0.25542168674698795,83,45.0,0.0,-1.3,8,0.6506024096385542
"('chrIX', 127661, 128148)",+,,39.285,4.961845129926823,5.521460917862246,0.2094285714285714,0.2914285714285708,0.2654285714285705,0,0.0,0.0,-2.3,42.557,5.298317366548036,6.214608098422191,0.0582857142857143,0.2105714285714284,0.5361428571428548,97,0,0.4045174537987679,30.0,0,0,1.0,0.4285714285714285,0.0,0.0,27.24,0.504,0.1568788501026694,0.0,-2.3,20.089,0.14229979466119097,487,48.0,0.0,0.0,64,0.2525667351129363
"('chrV', 307956, 308067)",+,NM_001184512.1,28.483,4.961845129926823,11.512925464970229,0.1938571428571419,0.4774285714285688,0.3192857142857127,0,0.0,-6.077777777777778,0.0,29.023,4.422848629194137,11.512925464970229,0.2402857142857124,0.4805714285714257,0.2591428571428544,17,0,0.5495495495495496,34.0,0,0,0.0,0.5714285714285714,0.2857142857142857,0.0,17.355,0.024,0.2504504504504504,-6.207692307692307,0.0,16.275,0.24414414414414415,111,32.0,-6.7,0.0,17,0.5405405405405406
"('chrIV', 1319720, 1319816)",-,NM_001180732.1,30.285,2.333044300478754,1.6820086052689358,0.2144285714285715,0.2052857142857147,0.4148571428571435,0,0.0,0.0,-5.6,20.972,1.7544636844843582,1.0133524447172864,0.3121428571428569,0.2821428571428577,0.4034285714285714,22,0,0.4791666666666667,14.0,0,0,0.0,0.0,0.5714285714285714,0.0,18.962,0.2,0.3041666666666666,0.0,-5.6,12.907,0.3302083333333333,96,14.0,0.0,0.0,22,0.4791666666666667
"('chrVII', 497365, 497458)",-,NM_001181130.3,22.327,11.512925464970229,4.961845129926823,0.239714285714287,0.1639999999999996,0.6787142857142872,0,0.0,0.0,0.0,18.208,11.512925464970229,3.575550768806933,0.1912857142857149,0.0987142857142855,0.6968571428571425,15,0,0.5698924731182796,21.0,0,0,0.5714285714285714,0.1428571428571428,1.0,0.0,12.269,0.031,0.2935483870967742,0.0,0.0,13.107,0.3043010752688172,93,14.0,0.0,0.0,18,0.4623655913978494
"('chrXVI', 678193, 678279)",-,NM_001184160.1,34.667,11.512925464970229,6.907755278982137,0.5577142857142854,0.0201428571428571,0.251999999999999,0,0.0,0.0,0.0,34.565,11.512925464970229,6.214608098422191,0.5432857142857146,0.041,0.2659999999999989,12,0,0.5697674418604651,35.0,0,0,0.7142857142857143,0.0,0.2857142857142857,0.0,8.423,0.081,0.3209302325581395,0.0,0.0,8.428,0.33139534883720934,86,35.0,0.0,0.0,12,0.5697674418604651
"('chrIV', 65306, 65377)",+,NM_001180279.1,9.282,3.170085660698769,11.512925464970229,0.6631428571428505,0.1055714285714284,0.4795714285714262,0,0.0,0.0,0.0,12.085,3.863232841258714,11.512925464970229,0.6385714285714238,0.146,0.3744285714285708,6,0,0.6338028169014085,6.0,0,0,0.7142857142857143,0.0,0.5714285714285714,0.0,7.445,0.002,0.2197183098591549,0.0,0.0,7.007,0.23521126760563377,71,6.0,0.0,0.0,6,0.6338028169014085
"('chrV', 166771, 166874)",-,NM_001180857.3,19.193,11.512925464970229,11.512925464970229,0.4559999999999983,0.2257142857142849,0.5091428571428551,0,0.0,-1.935,0.0,21.156,11.512925464970229,11.512925464970229,0.4462857142857135,0.2725714285714286,0.4517142857142841,17,0,0.4854368932038835,16.0,0,0,0.5714285714285714,0.0,0.5714285714285714,0.0,13.962,0.122,0.2436893203883494,-2.5357142857142856,0.0,11.498,0.23495145631067954,103,16.0,0.0,0.0,11,0.4854368932038835
"('chrXI', 82998, 83074)",+,NM_001179756.1,22.06,11.512925464970229,4.509860006183766,0.1264285714285717,0.1080000000000001,0.6531428571428508,0,0.0,0.0,0.0,22.532,11.512925464970229,2.111964733385396,0.1215714285714286,0.1997142857142858,0.6614285714285649,14,0,0.618421052631579,27.0,0,0,0.0,0.0,0.7142857142857143,0.0,15.505,0.016,0.375,0.0,0.0,13.316,0.37500000000000006,76,27.0,0.0,0.0,14,0.618421052631579
"('chrIV', 337524, 337634)",+,NM_001180123.1,21.784,11.512925464970229,11.512925464970229,0.4984285714285708,0.3278571428571405,0.205285714285713,0,0.0,0.0,0.0,21.473,11.512925464970229,11.512925464970229,0.4944285714285714,0.3134285714285688,0.2071428571428559,14,0,0.4545454545454545,21.0,0,0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,14.228,0.019,0.2363636363636363,0.0,0.0,13.688,0.2390909090909091,110,21.0,0.0,0.0,14,0.4545454545454545
"('chrIV', 431386, 431472)",-,NM_001180071.1,14.945,11.512925464970229,5.809142990314028,0.0029999999999999,0.4561428571428557,0.8024285714285694,0,0.0,0.0,-3.04807692307692,15.178,11.512925464970229,6.214608098422191,0.0047142857142857,0.4739999999999983,0.7891428571428528,12,0,0.6744186046511628,15.0,0,0,0.0,0.0,0.8571428571428571,0.0,11.588,0.428,0.2732558139534883,0.0,-3.100000000000001,10.691,0.3069767441860466,86,15.0,0.0,0.0,12,0.6744186046511628
"('chrII', 462429, 462499)",+,NM_001184520.1,20.908,11.512925464970229,11.512925464970229,0.0398571428571428,0.0395714285714285,0.6782857142857064,0,0.0,0.0,0.0,20.932,11.512925464970229,11.512925464970229,0.0272857142857142,0.0265714285714285,0.6765714285714203,20,0,0.5428571428571428,21.0,0,0,0.0,0.0,0.7142857142857143,0.0,19.182,0.0,0.4657142857142857,0.0,0.0,19.054,0.47000000000000003,70,21.0,0.0,0.0,20,0.5428571428571428
"('chrVII', 543638, 543721)",+,NM_001181158.3,19.753,5.809142990314028,0.4541302800894454,0.8547142857142919,0.5349999999999973,0.8477142857142868,0,0.0,0.0,0.0,19.594,6.907755278982137,0.8698843590599994,0.856428571428578,0.5749999999999991,0.6322857142857156,8,0,0.5903614457831325,29.0,0,-1,0.8571428571428571,0.5714285714285714,1.0,0.0,9.538,0.072,0.2012048192771084,0.0,0.0,8.384,0.18433734939759033,83,18.0,0.0,0.0,16,0.4698795180722891
"('chrII', 125154, 125270)",+,NM_001178290.1,20.782,3.473768074496991,0.95711272639441,0.0417142857142857,0.4280000000000033,0.8415714285714326,0,0.0,0.0,0.0,21.369,4.268697949366879,0.8818893051568227,0.0128571428571428,0.4291428571428605,0.8428571428571469,14,0,0.4655172413793103,21.0,0,0,0.0,0.4285714285714285,0.8571428571428571,0.0,14.118,0.027,0.2258620689655172,-3.1,0.0,14.086,0.2370689655172414,116,21.0,0.0,0.0,14,0.4655172413793103
